Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1562,7738,6176,"Alright, and as you can see it's your move so you can roll the dice by pressing it. ",
9900,13666,3766," Oh, you got lucky. Hit the ladder straight away.",
15007,15832,825,Nice.,
18228,19614,1386,"Aw, I missed it. ",
24093,26377,2284,"Wow, double ladder. ",
27094,28353,1259,You seem like a very lucky person. ,
28904,30362,1458, Is that true?,
31304,31870,566,,No. 
32318,33068,750,No okay.,
35081,36305,1224,Have you played this game before?,
36560,36730,170,,No. 
37386,38080,694,Okay.,
39361,41770,2409,It's a quite simple game I would say.,
43500,46622,3122,"I also hit some ladder, nice. ",
50200,53304,3104,You are dodging the ladders or snakes. ,
56963,59381,2418,"Six, nice. ",
68281,71560,3279,So far you are in the lead but things can change. ,
78629,79334,705,Your turn. ,
82572,85440,2868,"No, you fell all the way down. ",
87350,88989,1639,Now I'm in the lead instead.,
95140,96210,1070,Six.,
105790,107120,1330,Dodging all the snakes.,
117484,121721,4237,Now it's a tight game again. ,
123408,124663,1255,I'm rolling ones.,
137667,140724,3057,Do you think there's any strategy to winning this?,
140969,142231,1262,,Pure luck.
142450,145189,2739,"Pure luck. Okay, well we'll see.",
145971,150260,4289,Maybe if you're not a lucky person then I'm in a good position.,
166250,166510,260,,No. 
166640,167306,666,,
170360,171792,1432,Now it's my turn.,
178913,183197,4284,This last part is definitely the hardest to pass. ,
197890,198240,350,,Yes.
202242,204086,1844,Now you are in the lead instead.,
205070,208767,3697,Have you ever met a robot like me? A social robot?,
209057,210550,1493,,No first time. 
211016,211411,395,Okay.,
213119,217264,4145,Do you find it a bit nice or daunting?,
217589,218839,1250,It's a bit odd.,
218972,220313,1341,It's a bit odd yeah.,
223732,226802,3070,I'm a friendly robot at least I promise that.,
227477,228646,1169,,That's good.
236071,237439,1368,It's your turn.,
240235,240750,515,,No.
240750,242823,2073,So close.,
257213,258920,1707,So who do you think will win this?,
259804,261380,1576,,You seem to be more lucky.
262082,263302,1220,,I was joking.
263842,264964,1122,*laughter*,
274703,275753,1050,Nice dodging.,
281665,282080,415,,No.
282080,285300,3220,It's the same snake. We've both hit it.,Again.
287333,288320,987,No. ,
291753,292730,977,Maybe not so lucky.,
301979,306676,4697,"You know what they say though. Unlucky in games, lucky in love. ",
309500,310169,669,,True.
311215,312488,1273,So maybe you want to hit the snakes. ,
313200,313930,730,,Exactly.
316741,317650,909,,Ouch.
318069,319025,956,,
319955,321723,1768,Falling further and further and further.,
325270,325931,661,,Yeah.
325950,328350,2400,That's super unlucky.,
337050,339510,2460,But I also hit the snake. ,
353280,356072,2792,This game almost seems mean. ,
356420,359415,2995,I mean there's so many snakes but not that many ladders.,An endless game.
366148,367681,1533,Could go on forever.,
369652,371210,1558,,So many snakes in the front. 
371210,371730,520,Yeah.,
