Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1850,3793,1943,Sorry I should have warned you about that.,
3793,4543,750,,It's okay.
5631,10530,4899,So as you can see it's your move so you can roll the dice.,
12781,16960,4179,And a lucky start. You hit the ladder straight away.,
17061,17830,769,,Lovely.
19802,20550,748,Lets see if I can do. ,
20550,22493,1943,No I missed it.,
28310,29262,952,,That's too bad.
30126,30613,487,Yeah.,
33696,35740,2044,Anything can happen in this game.,
40780,42679,1899,Have you ever played this game before?,
42679,47543,4864,,Never. I do recognize it but I've never played it I think.
47830,48170,340,Okay.,
48170,48855,685,,It's my turn.
49328,49817,489,,Have you?
50388,51830,1442,Yes of course.,Obviously you have.
51830,55441,3611,I've been practicing a lot in order to win.,
55527,56681,1154,,I see.
62400,63800,1400,You're now in the lead.,
68040,68365,325,,Okay.
68365,70571,2206,Do you play a lot of board games in general?,
71157,71980,823,,I did.
71980,73373,1393,,Oh not again.
74636,76003,1367,Same snake.,
76003,77253,1250,,Yeah same snake.
77754,81783,4029,,I did when I was little but I haven't played in ages.
81794,82455,661,Okay.,
85671,86793,1122,,I like your hat.
87080,88070,990,Thank you.,
90335,93170,2835,It's one of my signature looks.,
93370,94770,1400,,"I see , I see."
95060,98893,3833,,Isn't it too warm now? Maybe not. 
99484,103810,4326,It gets warm in the summer but it's kind of cold down here in this basement.,
104780,105743,963,,I see.
107359,107896,537,Oh it's my turn.,
109931,112283,2352,Yes. I missed the snake.,
116220,116800,580,Six.,
116808,118505,1697,,I mean come on. 
122365,123272,907,You're stuck in a loop.,
123580,124215,635,,I am.
127603,128240,637,,Oh that's nice.
128760,129300,540,Yeah.,
130929,133026,2097,"It can change quickly, the game state.",
136410,137040,630,,I mean.
137175,137673,498,Really.,
137673,138380,707,,Okay.
141372,144163,2791,Do you think that it's maybe hard coded?,
146563,150550,3987,,"Yeah, now when you say it. Maybe."
150931,151974,1043,,Yeah true.
152377,155340,2963,It almost seems too unlucky to be true.,
157034,159840,2806,,But you haven't got any ladders yet. Have you?
159867,161936,2069,"No, no snake or ladder.",
161956,163770,1814,,No snake or ladder.
163832,168119,4287,I'm just doing it the old fashioned way. walking.,
171920,173174,1254,It's your turn.,
173596,176178,2582,"Yes, hold on a second.",
180620,183197,2577,I seem to have forgotten how to roll the dice.,
184071,184859,788,,But.
205660,208097,2437,So have you had a good day so far?,
208629,211040,2411,,So far yes. I'm doing my 
213208,216657,3449,,bachelor thesis at the moment and we are in the lab.
217490,219020,1530,okay. interesting.,
219020,222810,3790,,Yeah it's fun I think.
222931,224072,1141,,A bit stressful.
224992,225785,793,Yeah.,
234524,235634,1110,,Yes.
236312,237427,1115,,Finally.
254153,255022,869,Hello.,
255022,255773,751,,Hello.
261695,262500,805,Hello.,
262500,263435,935,Hello.,
264235,266796,2561,In what field is your bachelor thesis?,
267394,269620,2226,,It's in
272290,279530,7240,,It's chemistry but it's electro chemistry so I'm making structural batteries.
