Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1010,1498,488,,Lets go. 
1530,2760,1230,Perfect okay. ,
4157,5769,1612,The second time is the charm. ,
5769,6371,602,,Yeah. 
6739,7104,365,Oh. ,
7734,9084,1350,But you didn't get the lucky start. ,
9517,12179,2662,,No. It seems you are not seeding the randomness. 
12575,13367,792,Hahaha. ,
17751,19715,1964,No of course it's a fair dice. ,
21052,21598,546,,Of course. 
29890,32875,2985,So what is your impression of this game so far?,
33250,35772,2522,Do you think it's a skillful game?,
36421,36847,426,,No. 
37463,38662,1199,No okay. ,
39280,43913,4633,One could say it's kind of stupid actually. ,
50341,51995,1654,,Yeah I could see that. 
52714,53342,628,,I could see that. 
54739,55805,1066,Back to square one. ,
70978,72050,1072,Yeah nice. ,
80664,81232,568,Ehh. ,
89159,89724,565,,It's you. 
100726,102597,1871,Ahh you keep getting the ones. ,
102597,103134,537,,Yeah. 
104304,104986,682,,Steady does it. 
106359,107024,665,Ahh. ,
108139,108669,530,So do I. ,
109970,110842,872,,There we go. 
111859,112615,756,Oh. ,
113229,113509,280,Nice. ,
113509,114333,824,,"I'll take it, I'll take it. "
115597,116858,1261,Yeah you are catching up.,
122553,123763,1210,,Ah well. 
126346,126974,628,It's a shame. ,
128203,129020,817,,That's a shame. 
129020,129385,365,Oh. ,
130288,130978,690,Now you are in the lead. ,
130978,131422,444,,Yeah. 
136512,137961,1449,Come on one. ,
139421,140370,949,,Ahh. 
140370,141410,1040,,Hahaha. 
142553,143201,648,,Well. 
147044,147394,350,Ah. ,
148082,149565,1483,,Second time on that one snake. 
150179,151575,1396,Yeah it seems to like you. ,
152035,152474,439,,Yeah. 
153501,155332,1831,,I shouldn't have said anything about liking pythons. 
155994,156981,987,Hahaha. ,
157080,157592,512,,Haha. 
159976,160607,631,Oh. ,
161844,162568,724,Third time. ,
162568,163066,498,,Yeah. 
164824,166010,1186,,What are the odds?
177473,180233,2760,,okay now I just have to avoid one and i can pass this snake. 
180693,181497,804,Hahaha. ,
182225,183484,1259,Yeah lets see if you can do that. ,
185168,185884,716,Well. ,
186650,187149,499,,Yeah. 
187684,188202,518,Well. ,
188890,191208,2318,You avoided it this time at least. ,
194990,195973,983,,I'm on your tail. 
196671,197561,890,Yeah. ,
197927,200698,2771,But I'm going to run away with a six. ,
201827,202501,674,Oh. ,
209057,209654,597,,Oh. 
211123,214356,3233,Yeah this game can take quite a long time. ,
214769,215481,712,If we are unlucky. ,
216069,219566,3497,,Yeah have you done the math what the expected time is?
220470,221966,1496,Of course I have. ,
222875,223616,741,,You are a robot. 
223847,224185,338,Yeah. ,
224447,225782,1335,Oh. ,Hahaha. 
227072,228460,1388,That's the worst one. ,
230266,231376,1110,,It might be actually yeah. 
231948,234014,2066,,Eightyseven to fourtysven is also. 
234952,238498,3546,Yeah that's also bad but it's one shorter at least. ,
255724,256308,584,Oh. ,
256308,257792,1484,,Oh you are lucky. 
257899,258783,884,Pulling ahead. ,
260584,261584,1000,,You are a lucky robot. 
262561,265374,2813,Yeah and quite skilled I would say. ,
268740,271079,2339,,How do I know it's not you manipulating the dice?
271391,272534,1143,,How do I know you are not cheating?
273316,275439,2123,Yeah I mean you are just going to have to trust me. ,
277818,281752,3934,you are in the lead so why would I be manipulating it?,
281911,282610,699,,Mmm. 
284911,285918,1007,In your favor then. ,
287652,291759,4107,,Maybe you feel that I am a fragile human with a fragile human ego. 
293513,297895,4382,Well humans are fragile compared to me. ,
300674,301115,441,I mean. ,
302676,303827,1151,I think you can take it. ,
305583,306827,1244,,I appreciate your faith. 
