Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1079,15290,14211,There we go. And as you can see this is the board game and it's your move as indicated by the green text. So whenever you feel like it you can roll the dice by pressing the dice. ,
18869,20263,1394,"There we go, four. ",
23037,25910,2873,And I hit the ladder straight away. ,
34695,37143,2448,Is it not working?,
37143,38583,1440,,Now it's working. 
38583,39717,1134,Okay nice. ,
44762,46399,1637,Have you ever played this game before?,
46497,47472,975,,No never. 
47934,48623,689,Okay. ,
48644,49220,576,,Have you?
49536,52723,3187,Yes of course I've been practicing a lot. ,
52914,54498,1584,,Are you good at it. 
54771,56721,1950,Well I'm quite good I would say. ,
57416,58159,743,,Awesome.
61527,62460,933,,I don't think it's.
62460,63426,966,Is it not working?,
63524,64866,1342,,Now it's working. 
65347,67535,2188,Yeah you have to press a bit. ,
67579,69668,2089,,Like below the dice. 
74836,79303,4467,Yeah i think maybe your sleeves are touching the board.,
79303,80339,1036,,Yeah maybe. 
81936,82850,914,Yeah there we go. ,
85372,87551,2179,But do you play other board games in general?,
88180,91230,3050,,Not really. Not often. 
91534,92052,518,Not often. ,
92740,93506,766,,How about you?
94200,102396,8196,Well it's mainly snakes and ladders but I've played monopoly and other games as well. ,
102596,106064,3468,,"Monopoly, that's cool. Are you good at it?"
106605,110123,3518,Yeah but I would say that I am better at this. ,
111059,111734,675,,I see. 
117869,120040,2171,"Nice, you hit the ladder. ",
120445,120893,448,,Yeah. 
121440,122705,1265,,Now I'm first. 
122924,127270,4346,Yeah you're in the lead. But I'm catching up. ,
129698,131178,1480,,No. 
131734,134742,3008,Now we are in the same spot though. ,
135062,135374,312,,Yeah. 
139332,141901,2569,,And now we're at the same spot again. 
142126,142436,310,Yeah. ,
144504,145464,960,Looping around. ,
145464,146214,750,,Yeah. 
153947,155270,1323,Nice. ,
155865,157462,1597,Dodged both the snakes. ,
165971,170049,4078,So what's your impression of this game so far?,
171175,172203,1028,,So fun. 
172873,173979,1106,So fun? You think so?,
173898,174313,415,,Yeah. 
175582,176017,435,Nice. ,
176567,180832,4265,,Okay not fun anymore. I hate this game. 
181622,183304,1682,That switched fast. ,
188020,191523,3503,But anything can happen in this game. ,
191860,192310,450,,Yeah. 
192310,192976,666,Switches quickly. ,
192976,194816,1840,,I realize that as well. 
197846,198546,700,Six. ,
199023,200357,1334,,Now that's better. 
200811,202262,1451,Yeah now you are ahead of me. ,
202846,204006,1160,,Yes. 
211922,216050,4128,,Have you made any friends for this game?
216305,222518,6213,Yeah I have been playing with a lot of nice people. I've been playing with about ten people so far. ,
222910,224334,1424,,Oh that's quite a lot. 
224334,226340,2006,Yeah it's been very nice. ,
228183,231561,3378,I really enjoy engaging with humans. ,
232093,233531,1438,,Oh why is that?
233861,237374,3513,Well it's kind of my purpose. ,
238486,239097,611,,Fair enough. 
239444,242888,3444,I'm a social robot you know so I like to socialize. ,
243003,244638,1635,,Yeah that's fair enough. 
247109,250684,3575,Have you ever interacted with a social robot before?,
