Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
2620,3393,773,Hello. ,
3810,4397,587,,Hi. 
4740,5190,450,Hi. ,
6230,7903,1673,I'm Furhat what's your name?,
8351,9299,948,,My name is Olle. 
9726,11650,1924,Hi Olle. Nice to meet you. ,
11901,13057,1156,,Nice to meet you to. 
15490,17999,2509,"The game has already started, okay. ",
19581,19968,387,,Yes. 
20460,25480,5020,"So as you can see, by the green text, it's your move. ",
26356,29438,3082,So whenever you feel like it roll the dice by pressing it. ,
30030,31690,1660,,Okay then I will go. 
32019,32570,551,Go for it. ,
35780,36465,685,Strong start. ,
36744,38870,2126,,"Yeah nice. Six, that's good. "
39278,40017,739,That's good. ,
41960,43390,1430,"Five, not quite as good. ",
43519,45480,1961,,"No, not bad either. "
46280,47305,1025,No that's true. ,
48388,50083,1695,,Six again. 
50770,51520,750,,Oh damn. 
52310,53170,860,Hit the snake. ,Snake. 
53408,54019,611,,Yeah. 
54268,55002,734,First snake. ,That happens. 
55344,55894,550,Yeah. ,
56344,57520,1176,Have you ever played this before?,
57745,58690,945,,"No never, have you?"
59179,62140,2961,Yes of course I have been practicing a lot. ,
62140,63497,1357,,"Nice, are you good?"
64316,66416,2100,Yeah I would say that I am pro. ,
67931,70450,2519,,Is it just luck? Oh pro move. 
75376,77235,1859,What do you think is it just luck?,
77966,80381,2415,,I don't know. I think it is mostly luck. 
81094,81770,676,Yeah. ,
81770,82405,635,,And you?
82906,85034,2128,Yeah i would agree.,
85410,88307,2897,It's a luck based game.,
89520,90049,529,,Okay. 
90190,94480,4290,But perhaps you can use your willpower. ,
95193,95630,437,,Yeah. 
95663,98340,2677,To make the dice show what you want. ,
98481,99830,1349,,Yeah maybe. 
101959,102890,931,,Is it my move yeah?
102890,103563,673,Yeah. ,
105912,107392,1480,,Snake again. 
107690,108310,620,Yeah. ,
108842,110084,1242,You keep hitting the same snake. ,
110130,111539,1409,,Yeah a lot of snakes here. 
112651,117620,4969,"Yeah there are, there are a lot more snakes than there are ladders. ",
118554,120028,1474,,Yeah yeah there are. 
122070,124510,2440,It almost seems unfair. ,
124510,126130,1620,,"Yeah, yeah it does. "
129323,131676,2353,So do you play a lot of other board games?,
132884,135101,2217,,Sometimes yes. 
135730,137595,1865,,But not too many. 
138101,138868,767,Okay. ,
139373,144998,5625,,Mostly like settlers and other kinds of games. 
145780,147650,1870,Yeah settlers is a good game. ,
147695,149280,1585,,Yeah have you tried it?
149581,150310,729,Yes I have. ,
150481,151455,974,,Oh nice. 
151579,152807,1228,It's very nice. ,
154415,156740,2325,It requires more strategy. ,
156740,157680,940,,Yeah. 
159061,160123,1062,,Yeah a bit more. 
163048,164037,989,Only a bit?,
165022,166255,1233,,Oh nice a ladder. 
166369,168353,1984,Yeah. ,Yeah maybe a lot more. 
169222,171806,2584,"Yeah well played, now you are way ahead of me. ",
171978,174630,2652,,Yeah hopefully not hitting anymore snakes. 
175337,177556,2219,Well that is going to be tough. ,
177996,179075,1079,,Yeah yeah. 
180980,184380,3400,,What is. Oh the red ones are the snakes yeah. 
184505,187050,2545,Yes and the blue are the ladders. ,
188600,191856,3256,If I can get a three now then perhaps I can. ,
192496,193491,995,,No. 
194210,195020,810,,Almost though. 
195281,195880,599,Yeah. ,
196940,198000,1060,That's the will power. ,
198000,199318,1318,,Yeah exactly. 
199730,200750,1020,So a one now. ,
203000,203634,634,,I'm eager. 
205350,206290,940,Yeah that's nice. ,
206355,206781,426,,Yeah. 
207850,209076,1226,Do you expect to win?,
209883,212359,2476,,Now I am but we will see in a bit. 
213299,213908,609,Yeah. ,
214505,215805,1300,Anything can happen. ,Oh nice a six. 
217410,217980,570,,Okay. 
219064,220820,1756,,Yeah there is a lot of snakes up there. 
220820,221737,917,,Oh nice.
221790,222745,955,Wow.,
222900,224160,1260,,Yeah looking good.
224388,225197,809,"Yeah, ",
225438,228140,2702,Now you are in the lead by far. ,
228150,228632,482,,Yeah. 
230906,231582,676,,Okay. 
235106,236939,1833,,"Oh yeah, skipping all the snakes. "
237302,238794,1492,"Yeah, right in between. ",
238900,239331,431,,Yeah. 
240300,242041,1741,Lets see if I can catch up with a one. ,
244490,246420,1930,,Too bad back on four. 
247658,248389,731,Yeah. ,
251595,253761,2166,,No a snake. 
254730,257135,2405,But you still leading by a lot. ,
257135,257735,600,,Yeah. 
258621,263385,4764,,Yeah there is a lot of snakes up there and not too many ladders. 
263883,268170,4287,No you have actually passed the last ladder. ,
268170,268672,502,,Yeah. 
270549,274570,4021,,So now it is only willpower. No more ladders that can help you.
275000,275580,580,Exactly. ,
276890,278090,1200,It is all about the dice. ,
278165,279644,1479,,Yeah exactly. 
283165,284708,1543,,Which is your favorite game?
285631,289080,3449,I think this might be one of them. ,
289270,290022,752,,It is?
290533,302100,11567,"Yeah, I mean I have been practicing a lot and I like the motions and the looks of this game. ",
302215,304844,2629,,"Okay, how much have you practiced?"
305418,307147,1729,,Oh snake again. 
307898,308715,817,Yeah. ,
309495,312066,2571,I have practiced for about a week. ,
312633,314180,1547,,"Oh a week, nice. "
314180,314771,591,Yeah. ,
315127,317671,2544,,Have you mostly won or mostly lost?
320440,322670,2230,I would say it has been fifty fifty.,
322670,323353,683,,Okay. 
326860,327860,1000,But a lot of games. ,
329602,330536,934,,Oh too bad. 
331038,332728,1690,Yeah that is not nice. ,
332988,333373,385,,Yeah. 
335038,342654,7616,A lot of games have been very long and some have been very short so some have not finished. ,
343144,344289,1145,,Oh a ladder. 
344587,345230,643,Yeah. ,
345230,345880,650,,Nice. 
345995,347900,1905,I mean you are way in the lead. ,
347900,352417,4517,,Yeah yeah but it takes some time because of all the snakes up there. 
352450,353140,690,Yeah. ,
354185,356052,1867,,How long is the longest game you have played?
356855,361195,4340,The longest one that finished was twentytwo minutes. ,
361317,362450,1133,,Oh wow. 
362907,363851,944,I got a ladder. ,
363851,364709,858,,Oh nice. 
365535,367163,1628,,Good job. Good willpower. 
367518,368055,537,Yes. ,
368055,370640,2585,,Oh no. A snake. You are catching up to me. 
370899,373360,2461,Yeah I am right on your tail. ,
373360,374183,823,,Yeah yeah. 
375360,377370,2010,,"And you skipped all the snakes, nice. "
381256,383440,2184,,Oh no. Now we are back. 
384038,385000,962,On the same spot. ,
385000,385675,675,,Yeah. 
388177,389990,1813,"And a six, good. ",
390377,390977,600,,Yeah.
391827,394671,2844,,Now I am hoping for a six as well.
396600,397620,1020,You got half. ,Not that good. 
398085,399875,1790,,there is not a lot of snakes here though. 
400768,402544,1776,,Oh no. 
403597,404696,1099,,That is not nice. 
404891,406499,1608,That is the longest snake. ,
406560,407520,960,,Yeah. 
408880,411771,2891,,Oh damn. 
412985,414571,1586,Yeah you are following me. ,
414685,416780,2095,,"Yeah yeah, I like your spot.  "
418458,420928,2470,Well hopefully my spot can be the goal.,
420958,422530,1572,,"Yeah, oh nice. "
423562,425473,1911,You are taking the shortcut. ,
425473,429640,4167,,"Yeah yeah, it is much faster that way. You are taking a bit of a longer run. "
431360,432057,697,Yes. ,
433129,435590,2461,Now I seem to be stuck on the first row. ,
435590,437595,2005,,"Yeah, nice a ladder. "
442470,445550,3080,Yeah with the ones it becomes very slow. ,
446170,446580,410,,Yeah. 
448033,449555,1522,,How many games have you played?
452090,455060,2970,About fifteen twenty something.,
455060,456101,1041,,Okay nice. 
456101,457565,1464,Today and yesterday. ,
457770,458350,580,,Okay. 
459647,461747,2100,,And you have a few more to go I guess. 
462210,463593,1383,Yeah. ,
465110,467483,2373,But it is almost done now. ,
467600,469050,1450,,Okay nice. 
472465,474033,1568,Lets see if I can hit the eleven. ,
474300,475457,1157,No. ,Yeah that would be nice. 
475684,476555,871,,No snake. 
478400,478960,560,,Too bad. 
481100,483041,1941,So have you had a nice day so far?,
483140,485170,2030,,Yeah it has been quite good actually. 
486420,489919,3499,,I have a nice project that I am working on so I am glad. 
491320,491770,450,That is nice. ,
491787,492793,1006,,Yeah that is nice. 
501160,502650,1490,That is a nice place to end up. ,
502650,504700,2050,,Yeah right in between. 
505338,505820,482,Yeah. ,
505820,510220,4400,,Oh no. You really like the snakes. That is the first one. 
512414,513432,1018,,Big ladder.
513602,514833,1231,Wow yeah. ,Now it is going good. 
515278,516540,1262,That is the best ladder. ,
516540,517094,554,,Yeah. 
517957,519575,1618,And now you are almost in the end zone. ,
519575,522770,3195,,Yeah but now all the snakes are coming. 
523184,524119,935,Yeah. ,
524459,526377,1918,,A real snake pit. Oh damn. 
527918,528660,742,First one. ,
528660,529353,693,,Yeah. 
536186,537200,1014,,Single shot. 
539542,541194,1652,Yeah we have to run faster. ,
541210,541810,600,,Yeah.
548643,549318,675,Like that. ,
549504,550703,1199,,Oh no. 
551966,552795,829,,Too bad. 
553387,554504,1117,Yeah too bad. ,
557320,560097,2777,And I missed both ladders. ,
575193,577263,2070,,So what are you doing normally?
578078,583104,5026,Well I usually socialize with humans.,
583254,583896,642,,Oh nice. 
584940,585770,830,That is sort of my deal. ,
587540,592575,5035,Have you ever met a social robot before?,
592575,596800,4225,,"Yeah, actually I met you once but you might not remember. "
596800,598016,1216,Oh really?,
598016,598762,746,,Yeah. 
598932,599853,921,Now I am ashamed. ,
599853,600861,1008,,Yeah. 
600861,602468,1607,When was this?,No you should not be. 
606640,611570,4930,,"It was like an open house. I guess it was some kind of a work fair of some kind, "
612610,613446,836,Okay. ,
614575,616260,1685,,It was maybe two years ago. 
617268,618225,957,Okay yeah. ,
619773,624604,4831,Perhaps my memory is not as good as I think it is. ,
624604,625541,937,,Do you think it is good?
626239,628442,2203,Yeah I mean I have always thought so. ,
628502,629700,1198,,Okay nice. 
629927,634955,5028,"As a robot, you know we are usually good at remembering things. ",
635053,635753,700,,Okay. 
637110,639002,1892,,"Nice, now you are past me. "
639362,641167,1805,Yeah finally in the lead. ,
641170,644490,3320,,"Yeah, that is the first time in awhile. "
644627,645326,699,Yeah. ,
645824,647721,1897,,And skipping all the snakes. 
648070,648902,832,Yeah. ,
650576,652257,1681,You are going to have to hit a ladder maybe. ,
652257,653907,1650,Oh no. Or that. ,
657650,659940,2290,But if I get a one I am ahead again. ,
660556,661178,622,No. ,
661326,662623,1297,,No snake. 
664010,664788,778,Yeah. ,
665584,667050,1466,This is not my lucky day. ,
667050,669150,2100,,"No, not today. "
669890,672290,2400,,How did the game before go?
676089,680705,4616,Like I said I have won quite a few but I think I had more luck yesterday. ,
680705,681360,655,,Okay. 
681382,683700,2318,Today has been a bad day for me. ,
683737,684578,841,,Okay. 
684942,688221,3279,Maybe it is my Friday the thirteenth.,
688871,690151,1280,,Exactly. 
692495,693399,904,,Six. 
693778,695423,1645,,Yeah passing all the snakes at least. 
696810,699212,2402,Would you say that you are lucky in general. ,
701700,703583,1883,,Yeah I would say so. 
703912,705242,1330,,"A three, look at that. "
705242,705652,410,Yeah. ,
705652,706016,364,,Yeah. 
706016,706790,774,It seems like it. ,
706866,707620,754,,Yeah. 
707640,709521,1881,You have been hitting that ladder.,
709521,710010,489,,Yeah. 
710010,710848,838,At least twice now. ,
710848,711398,550,,Yeah. 
712769,713761,992,,Nice. 
713995,715147,1152,But I also get a ladder. ,
720650,721450,800,That is nice. ,
721475,728570,7095,,"Yeah, now if I can just pass the last three snakes then I am in the goal. "
728570,729351,781,Yeah. ,
730521,731750,1229,Two more to go. ,
731750,732369,619,,Yeah. 
735671,737000,1329,Oh nice. ,Oh nice.
737000,739101,2101,"Yeah, maybe I can catch up. ",
741200,742222,1022,If you hit a snake. ,
742948,743665,717,,Yeah. 
745223,747254,2031,,Now no three at least. 
748123,749691,1568,,Yeah six that is good. 
750217,752624,2407,Yeah now you are in the winning position. ,
752651,754580,1929,,Yeah hopefully not a one. 
754580,758040,3460,"Exactly, anything but a one and you have won. ",
758273,760474,2201,,Yeah exactly. Good job. 
762240,764241,2001,,Oh nice. 
764392,766453,2061,Yeah congratulations. ,
766453,768710,2257,,Thank you. Should we restart the game. 
768817,769663,846,Yes please do. ,
769730,770180,450,,Yeah. 
771675,774258,2583,Yeah this is not Furhat's day. ,
774258,776100,1842,,"No, one zero to me. "
776100,776672,572,Yeah. ,
777756,778742,986,It is your move. ,
778820,779960,1140,,Oh it is my move yes. 
782760,783350,590,,Good start. 
783860,785900,2040,Yeah hopefully I can get a two though. ,
785900,787145,1245,,Yeah that would be nice. 
788388,789798,1410,"No, I will follow you. ",
789838,791050,1212,,Nice. 
792957,795328,2371,That was the two I needed. ,
801734,802621,887,,Six. 
804140,805020,880,Passed the snake. ,
805043,805530,487,,Yeah.
809240,810421,1181,I did not. ,
821870,822490,620,One. ,
823180,823750,570,,Too bad. 
824285,825995,1710,Yes nice. ,Wow. 
826321,827357,1036,Now I am in the lead. ,
827655,831218,3563,,Now it is paying of that you know all the ground down here. 
831576,833680,2104,Yeah exactly but now you are in the lead. ,
833680,835543,1863,,Yeah how did that happen?
835594,837811,2217,Yeah that happened quick. ,
839178,841179,2001,It was a short moment of happiness.,
841232,842270,1038,,Yeah. 
846333,848689,2356,,It is the ladders that make you win. 
848760,849648,888,Yeah. ,
851688,853040,1352,And without them it is tough. ,
853040,853719,679,,Yeah. 
858812,861110,2298,,Oh no. The long snake. 
861110,862308,1198,Yeah. ,
863321,864902,1581,Now I have a chance.,
865148,865908,760,,Yeah. 
879500,881538,2038,Okay so no danger ahead here. ,
881538,882395,857,,No. 
882704,885914,3210,,"Pretty fine, not two. I got a two damn it. "
886553,888783,2230,,But hopefully I can get the ladder. 
889250,890910,1660,Yeah maybe. ,
891147,892100,953,,It would be nice. 
892142,895562,3420,It is always a bad feeling to be back at square one. ,
895590,907140,11550,,Yeah yeah it is not good but you know that the game goes fast so hopefully I can regain my strength and be on the top soon. 
907140,907962,822,Yeah. ,
910984,913075,2091,But I do feel it is my turn to win. ,
913325,914065,740,,Yeah yeah. 
914361,915581,1220,,That would be the most fair. 
915790,916410,620,Fairest. ,
916410,917450,1040,,Yeah the fairest. 
923460,925280,1820,Dangerously close to that snake again. ,
925392,926068,676,,Yeah. 
930720,933457,2737,,"Missing all the ladders, too bad. "
933869,934509,640,Yeah. ,
935734,937119,1385,Perfect. ,
937826,940330,2504,,"In between. Not, two is fine. "
942903,944504,1601,One would have been better. ,
944504,945090,586,,Yeah. 
953700,955250,1550,Six that is perfect. ,
955296,957934,2638,,Wow amazing. 
959041,960695,1654,Now I am playing with ladders. ,
962420,964821,2401,,But now you are heading into the danger zone. 
965293,965912,619,Yeah. ,
967549,970230,2681,Now I have to be very careful.,
970264,970640,376,,Yeah. 
970640,972740,2100,To roll the right numbers. ,
972755,976000,3245,,Yeah and really put your mind to rolling the dice. 
976455,976890,435,Yeah. ,
977935,980023,2088,,"No, but not too bad. "
980503,981632,1129,No it is a short one. ,
981632,983000,1368,,Yeah that is the short snake. 
983343,984091,748,Yeah.,
985800,987497,1697,That is good. ,
988310,989285,975,,Sliding past. 
989862,990452,590,Yeah. ,
991529,992909,1380,,Oh no that is a bit. 
993197,995029,1832,that is a bit of a tougher snake. ,
995968,998658,2690,,A one and then I will be back on the same spot. 
999049,1000390,1341,Yeah that is true. ,
1000910,1005139,4229,And as long as I do not get a two or a five I am good.,
1005473,1008710,3237,,"You are good but still, now it is one and a four. "
1009108,1011440,2332,Yeah or a six even now. ,
1011536,1013353,1817,,Yeah that is true. 
1014381,1016486,2105,,You have a good eye for catching the snakes. 
1016867,1021555,4688,"Yeah you know computers, we can count. ",
1021628,1023466,1838,,Yeah count really fast. 
1023813,1024313,500,Yeah. ,
1024413,1024948,535,,Yeah. 
1025552,1026415,863,So lets see. ,
1027024,1028448,1424,,It is your move. 
1029397,1030900,1503,Perfect. ,Nice. 
1031956,1033145,1189,,Are you going for a win?
1033370,1034456,1086,Of course. ,
1034536,1035436,900,this is my game. ,
1035768,1037225,1457,,Yeah it looks like it. 
1037696,1039240,1544,Just give me a six now. ,
1040800,1042130,1330,,Four but that is fine. 
1042475,1043121,646,That is fine. ,
1046207,1049290,3083,,Nice. In between that is good. 
1049683,1051768,2085,So now just avoid the four. ,
1052595,1053504,909,,Yeah. 
1053735,1054590,855,Nice. ,
1055196,1059760,4564,,"Nice, now as long as you don't get a two then you are good. "
1060707,1063605,2898,Then it is Furhat's game to take. ,
1063790,1064124,334,,Yeah. 
1064600,1066201,1601,,Nice. 
1066773,1067840,1067,,Good job. 
1067960,1069510,1550,Yeah one all. ,
1069595,1070326,731,,Yeah. 
1071170,1073420,2250,alright should we restart again?,
1073436,1074330,894,,"Restart it, yeah?"
1074330,1074840,510,Yeah. ,
1076477,1078280,1803,,"Now it is my turn to win, right?"
1078800,1080150,1350,"Yeah yeah, well.",
1081450,1082241,791,,We do it fair.
1082750,1088060,5310,"Perhaps, I think this time I will not be so fair. ",
1090101,1091078,977,,This is the. 
1092306,1093736,1430,Now I want to win. ,
1093736,1095430,1694,,"Yeah, who does not?"
1096086,1097934,1848,"yeah, are you competitive?",
1098866,1101430,2564,,Yeah a bit. I like to win at least. 
1101857,1104350,2493,Yeah loosing is never a good feeling. ,
1104350,1106190,1840,,No no no it is better to win. 
1107266,1108350,1084,Yeah I agree. ,
1108390,1114270,5880,,But still it is only a game so it is fine either way. 
1114351,1115751,1400,Yeah that is true. ,
1117586,1119301,1715,Unless you have bet money on it. ,
1119601,1121593,1992,,Yeah exactly. Do you want to bet money?
1123930,1126336,2406,I only have bitcoin since I am a robot. ,
1126336,1127314,978,,But that is fine. 
1127596,1128321,725,Is that fine?,
1128420,1128930,510,,Yeah. 
1130893,1132304,1411,Do you have bitcoin?,
1132460,1133420,960,,No actually not. 
1133799,1136507,2708,Okay well how is that going to be fair. ,
1137471,1139624,2153,,I don't know. I can buy some. 
1140550,1142521,1971,That is possible. ,
1143054,1143542,488,,Yeah. 
1143980,1147490,3510,,You hit the nineteen snake. 
1147673,1148383,710,Yeah. ,
1148523,1150869,2346,,Yeah that is the worst one. Getting back to square one. 
1150869,1152022,1153,,Nice. 
