Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1200,1631,431,Okay.,
2352,3199,847,So this is the game. ,
3643,5695,2052,And as you can see it's your move. ,
6377,9425,3048,You're the blue person with suspenders. ,
10294,10578,284,,Yes. 
11034,13220,2186,Feel free to roll the dice. ,
17582,18239,657,Good start. ,
20427,20827,400,,Lets go. 
20827,22188,1361,Lets see if I can get the same. ,
27415,28268,853,Slowly but surely. ,
30151,31072,921,,No. 
32455,33294,839,Taking the shortcut. ,
34620,35067,447,,Fuck. 
35614,37427,1813,Yeah so now you have to catch up. ,
38705,39798,1093,,Are you rolling only ones?
41338,42338,1000,,No. 
42520,43670,1150,You got the snake. ,
44475,45293,818,,Is this rigged?
47044,47783,739,I don't think so.,
49846,50837,991,,What the fuck.
52683,53777,1094,It may seem like it's rigged. ,
56155,57300,1145,You see. Yeah. ,
58340,60784,2444,Now you're almost at the same place as I am. ,
62931,63370,439,,Hello. 
66273,67515,1242,Passed the snake. ,
69005,70100,1095,Always nice with a six. ,
71022,71469,447,,Easy peasy. 
72798,73691,893,Same for me. ,
75551,76288,737,,What the fuck. 
80790,81515,725,Nice dodging. ,
83007,83670,663,,Thank you. 
85492,87163,1671,,I'm sure I will win this in the end. 
87486,87965,479,,Fuck.
88552,89590,1038,Alright do you think so?,
89944,90388,444,,Opps. 
90660,92998,2338,Have you played snakes and ladders before?,
93407,93655,248,,No. 
94288,94934,646,No okay. ,
96366,97375,1009,So it's the first time then.,
98068,98929,861,,It's my first time. 
99766,100116,350,Yeah.,
101365,103154,1789,Have you played other board games?,
104788,105414,626,,No. 
106250,106872,622,No?,
107956,109082,1126,You never played a board game?,
109420,110877,1457,,"Yes, a board game yes. "
111008,111576,568,Okay yeah. ,
113935,116656,2721,I mean this is smooth sailing for me. ,
116901,118561,1660,,Yes I would say. 
123360,124796,1436,,Now it's my time to shine. 
125312,126057,745,Yeah. ,
126357,127578,1221,Anything can happen. ,
127722,131900,4178,The state can shift very quickly in this game. ,
134327,137000,2673,But you seem to be lagging behind a bit. ,
138517,139415,898,,That was a bad one. 
139953,141872,1919,Yeah that was one of the longer ones. ,
144086,144534,448,,Fuck. 
145406,145911,505,Yeah. ,
147095,147780,685,It's not good. ,
148928,150803,1875,,But you can still hit eightyseven. 
152088,153429,1341,Eightyseven yeah. ,
153584,158111,4527,That one and fiftyone is particularly bad. ,
166355,171280,4925,So have you ever interacted with a robot like me before?,
171823,172316,493,,No. 
172799,173377,578,Okay.,
175809,177411,1602,,What kind of robot are you?
178346,181958,3612,Well i would define myself as a social robot. ,
184423,194690,10267,Intended to enhance the experience when you are meeting in a digital environment. ,
195807,196372,565,,I see.
204711,206562,1851,Dodging like a pro. ,
210039,214358,4319,,I'm sure this will end badly for you. 
214894,215614,720,You think so?,
216233,220907,4674,As long as I don't get a two or a six now I should be good. ,Yes. 
223128,224558,1430,Spoke too soon. ,
226963,228258,1295,Spoke too soon. ,
231228,232052,824,Oh no. ,
232689,233534,845,,Okay here we go. 
233595,234178,583,Yeah. ,
234938,236206,1268,Now it's your time to shine. ,
236206,236900,694,,Yes. 
241743,242793,1050,,Okay then. 
245371,246530,1159,Lots of ones. ,
246822,248245,1423,,Lots of ones. 
251330,253406,2076,I feel I have the luck in this game. ,
254293,257310,3017,I hit ladders ever time almost. ,
257955,258617,662,,Yes. 
262093,265688,3595,,But I am certain that luck will change soon. 
266432,267327,895,Yeah. ,
267878,269258,1380,Perhaps. ,
269772,271543,1771,Yeah that was nice. ,
272594,273645,1051,I get a one. ,
276969,278301,1332,Passed the snake. ,
280668,282715,2047,,Okay I'm sure I'm going to get a six now. 
284982,285758,776,Three.,
287383,288710,1327,I don't want a two. ,
290525,293775,3250,"Perfect, that was perfect. ",
293935,294933,998,,Again perfect. 
301852,303046,1194,,No. 
304211,305000,789,unlucky. ,
306515,307302,787,,Fudge. 
307691,309897,2206,Or is it unskillful?,
310171,312044,1873,Do you think there is any skill involved?,
312168,313020,852,,Of course. 
313428,314815,1387,Of course yeah?,
316105,320241,4136,Okay so now I will skillfully not roll a three.,
322896,324448,1552,,Fuck you won. 
324609,325471,862,I win. ,
326946,327863,917,,Do I press restart?
328017,329068,1051,yes please do.,
330912,331413,501,,Alright. 
331413,333591,2178,"Your move, you always start. ",
334057,335180,1123,,This time will be different. 
336072,336585,513,Yeah.,
337764,338479,715,Lets see.,
340303,341621,1318,,I am sure of it. 
346422,349735,3313,Yeah you where pretty unlucky last game I would say. ,
349735,350536,801,,Yeah. 
352413,353827,1414,But I was also pretty lucky. ,
354034,358212,4178,,Yeah it's a sweet combination. 
358688,359248,560,Exactly. ,
360931,362068,1137,There we go.,
362322,363081,759,First snake. ,
366224,367103,879,,Very close. 
367271,368572,1301,Very close yeah. ,
373275,374008,733,Nice. ,
374548,377031,2483,,Now the tables have turned. 
377220,377844,624,Exactly. ,
378295,378977,682,,Oh fuck. 
380136,380985,849,,Still ahead. 
381120,381798,678,Yeah. ,
383161,384188,1027,,Still ahead. 
385854,388489,2635,I still have some catching up to do. ,
394244,394844,600,,No. 
394891,395565,674,Perfect. ,
395646,396622,976,,God damn. 
397829,399331,1502,Lucky number fortytwo. ,
399481,400669,1188,,Come on one. 
401683,404879,3196,,"No, you're only catching up. "
405901,406782,881,Double one. ,
407645,409157,1512,Snake eyes. ,
410116,410668,552,,Three. 
413241,413965,724,,No. 
419302,420820,1518,Wow yeah. ,
421064,423857,2793,This is Furhat's game today. ,
424383,425494,1111,,I think it's rigged. 
426062,432062,6000,Well I don't quite think so. ,
442667,444274,1607,"Lets see, six. ",
444691,446287,1596,But it was a bad six. ,
446568,447818,1250,,It was a bad six. 
449276,450661,1385,,Here comes the big four. 
452024,453315,1291,Alright lets see. ,
454509,455620,1111,Oh no. ,
455656,456736,1080,,Oh my god. 
457181,458641,1460,Yeah now you are in the lead. ,
461210,464295,3085,Now it's my turn to catch up. ,
468995,470097,1102,You do get a lot of ones. ,
470431,471677,1246,,Yes. 
472952,474681,1729,,"No again, what the fuck. "
479457,482655,3198,,I feel like there are more snakes than there are ladders in this game. 
483160,484331,1171,Yeah I think you are right. ,
484790,487196,2406,Just by looking at the board. ,
487793,488615,822,,Yes. 
503541,505810,2269,Hello I lost you for a second. ,
505810,506514,704,,Yes. 
510844,513896,3052,,Did the cheating turn off?
515747,519609,3862,Well it's not in my power to control. ,
522567,525709,3142,I'm not the developer behind this game. ,
526100,527034,934,,No?
527034,527783,749,No. ,
528449,534717,6268,I know the developers but I am not the one who is responsible. ,
536363,538012,1649,,Come on. No. 
539500,540561,1061,Lets see now. ,
543758,545741,1983,,I feel like it gets very hard at the end. 
546337,553017,6680,Yeah the second to last row is really tough. ,
555377,557094,1717,We keep following each other. ,
560294,561756,1462,,No. 
562956,564529,1573,,Okay one again. Come on. 
566844,568666,1822,"Six, perfect. ",
568666,570068,1402,,God damn. Okay one. 
570121,572024,1903,Best possible. ,
576724,577972,1248,,No what?
581382,584275,2893,"Yeah, might be my game again.",
586104,587199,1095,,Spoke too soon. 
587328,588185,857,Yeah. ,
589341,590895,1554,It's easy to jinx it. ,
595640,596796,1156,,Okay then.
596796,599091,2295,Really spoke too soon. ,
599651,601315,1664,Now I'm back at the start. ,
601943,602741,798,,I'm back in it. 
602741,603500,759,Almost. ,
612939,613948,1009,Six is good. ,
613953,614664,711,,Unlucky. 
615103,619258,4155,Well yeah five would have been better. Definitely. ,
620663,624915,4252,,Okay now I need three or five. 
627206,627810,604,,Perfect. 
627814,631311,3497,Nice. Right in between. ,
631941,636120,4179,,Okay so everything except one please. And six. 
636234,637109,875,And six yeah. ,
637948,638934,986,,I think I'm going to do it. 
639246,642741,3495,Yeah now it's just two more obstacles. ,
643362,644814,1452,,This is like.
646598,650086,3488,,"Okay I need two, three, four or six. "
650980,653586,2606,"Two, yeah that does it. ",
653692,654908,1216,,Slowly but surely. 
656155,658058,1903,yeah now it's just one more. ,
660374,662877,2503,That's actually the best spot to be in. ,
663128,663534,406,,Is it?
663988,666919,2931,Yeah as long as you don't hit a one you win. ,
666919,670258,3339,,"Yeah, that's true. "
671339,672373,1034,,Yes. 
672373,673028,655,Nice. ,
673136,673774,638,,Yes. 
673907,675378,1471,Congratulations. ,
676037,676856,819,,Restart?
677311,678113,802,Yes please. ,
678417,682931,4514,We can do one more. I think we should have a deciding game right?,
682931,684844,1913,,Yeah that sounds fair. 
686258,688303,2045,,Sounds reasonable. 
688805,689935,1130,Double five. ,
691494,693106,1612,,This is perfect right?
693348,695355,2007,Yeah wow. ,
695826,696844,1018,Now you are speed running. ,
697294,699054,1760,,Yeah this is a speed run. 
703852,708299,4447,"Yeah, no ladders but no snakes. ",
708721,714291,5570,,I wonder if they would consider using this game in awesome games done quick. 
715793,718827,3034,Right for a actual speed run.,
718827,719474,647,,Yeah. 
721820,726948,5128,Yeah what would be the strategy to speed run this game. ,
726948,728525,1577,,I'm not quite sure. 
731189,734965,3776,,Roll fast or roll slow. Those are the two options I think. 
735206,740034,4828,Yeah you are probably right. There's not so much to control. ,
744193,745760,1567,Oh no. ,
746148,748024,1876,I'm back to the first row. ,
