Begin Time - msec,End Time - msec,Duration - msec,Annotations - Furhat,Annotations - Human
1760,2304,544,Alright. ,
3078,4130,1052,So yeah. ,
4130,5044,914,,My move?
5130,6300,1170,Your move. ,
7836,10220,2384,"Alright, of to a flying start. ",
10220,11053,833,,yeah of course.
14294,15032,738,Oh. ,
15204,17029,1825,,It is equal so far. 
17488,17918,430,Yeah. ,
21258,23259,2001,Lets see if I can pass you. No. ,
24040,25472,1432,,I think I have a good beginning now.
26736,27236,500,Oh. ,
27326,28369,1043,,Oh it is good. 
28949,29737,788,Yeah that is nice. ,
30252,32409,2157,Lets see if I can get a three and then I will follow you. ,
32932,33542,610,No. ,
34440,35120,680,,Heh. 
36927,37496,569,Too bad. ,
40741,43583,2842,Have you played snakes and ladders before?,
44208,49263,5055,,I said no on the board but I think maybe when I was young but I have no memory. 
49572,50042,470,Okay. ,
52977,55060,2083,But you play other board games. ,
55651,56886,1235,,Yeah I do. 
57720,59873,2153,,But maybe not this simple. 
60422,61560,1138,Okay yeah. ,
62016,66502,4486,Yeah this is one f the simpler board games you could say. ,
67568,69011,1443,,With great colors as well. 
69227,70800,1573,Oh yeah. ,
72342,76679,4337,That is the developers you have to thank for that. ,
76810,77640,830,,Hahaha yeah. 
81344,82036,692,Oh. ,
82070,82599,529,,That is good. 
83178,84661,1483,Yeah you are moving really fast. ,
86473,89700,3227,So far this game has been nothing but ladders for you. ,
90999,93428,2429,,"There's going to come a snake, a large snake soon I think. "
94737,99520,4783,Yeah the second to last row is very tough.,
104549,106512,1963,,If you get a number two next time. 
108413,109633,1220,Yeah then I will pass you. ,
111619,114242,2623,I hope so. ,
114471,120092,5621,,I don't even look at the dice I just look whether my guy is moving or not. 
120217,122695,2478,"Well that's you know, it is done for you. ",
122870,123300,430,,Yeah. 
123300,124282,982,Oh wow. ,
124819,126477,1658,You have been really lucky so far. ,
126741,127776,1035,,It is not luck. 
128631,129663,1032,Oh you don't think so?,
129663,130957,1294,,"No no no, look at this. "
136870,138060,1190,Ahhh. ,
138315,140370,2055,But that's your first snake. ,
140430,141520,1090,,Yeah it's my first snake. 
144290,145640,1350,,The moment I said it's no luck. 
146113,146806,693,Ahh. ,
147119,148980,1861,,Yeah maybe I have a little luck as well. 
149847,150466,619,Yeah. ,
151583,154050,2467,So if it's not luck is it skill?,
154244,155109,865,,Yeah I think so. 
156177,159171,2994,Okay so how are you skillful in this game?,
159910,163290,3380,,I can see the matrix and I can know when I should press the dice. 
163644,164531,887,Oh okay. ,
164990,166920,1930,So you manipulate the RNG. ,
166920,167648,728,,Mmhmm. 
168201,168895,694,Wow. ,
168895,170332,1437,,I put on a good seed for myself. 
171212,171776,564,Aha. ,
172858,174669,1811,,Ahh oh good. 
175633,180602,4969,Yeah you're going amazingly well I would say. ,
181157,182590,1433,,Haha thank you. 
182590,189470,6880,I have played a couple of games now and a lot of people get stuck on the first two rows. ,
190145,191706,1561,,I think I ended up on the same snake. 
192596,193415,819,,As the last time. 
195585,197935,2350,So you are two for two wit that one. ,
197935,200504,2569,,I told the RNG seed so I ended up on the same place. 
200939,202925,1986,Hahaha. ,
206681,207611,930,You're fixing the game. ,
208365,210008,1643,,Oh you're catching up on me now. 
210310,211282,972,Yeah. ,
212013,214680,2667,,Oh now you take the lead as well. 
214680,215364,684,Yeah. ,
216250,219400,3150,Yeah yeah I'm planing to win this you know. ,
220140,221105,965,In it to win it. ,
221268,222420,1152,,in it to win it. 
223498,224382,884,,No. 
224580,225490,910,,What the fuck. 
225881,228012,2131,,Hahaha. 
230422,231759,1337,The tables have turned. ,
232948,234740,1792,Now I am far in the lead. ,
235069,238110,3041,,Oh I'm almost down to square one I feel. 
238611,240259,1648,Yeah that can happen. ,
241022,243431,2409,You can go all the way back down. ,
243681,244395,714,Oh no. ,
244559,245347,788,,That's good for me. 
245651,246588,937,Yeah.,
247356,248218,862,,Yes. 
248805,249475,670,Oh. ,
250380,251255,875,Wow yeah. ,
251255,253647,2392,,I have that ladder the last time as well. 
253813,256560,2747,"Oh okay, yeah that's your favorite ladder huh?",
256560,257307,747,,Mmhmm.
258570,259790,1220,I have already oh. ,
260777,261528,751,That's nice. ,
261528,262446,918,,That's good for you. 
262952,264157,1205,Yeah I just passed you. ,
266740,268180,1440,,Yeah you passed me oh my god. 
268180,268560,380,Oh. ,
268638,269187,549,,Yeah. 
270466,272271,1805,It was a short victory. ,
272271,272942,671,,Short lead. 
273494,273853,359,Yeah. ,
274215,275750,1535,"But if I now, no.",
276429,277963,1534, I can get the ladder now. ,
278485,279747,1262,,Have you played this game before?
280203,284850,4647,Yes I've been first practicing for a week. ,
285530,287005,1475,Because I want to win this. ,Mmhmm. 
287642,291980,4338,But then i have been playing for all of yesterday and today. ,
291980,293527,1547,,And how did you practice?
294590,295630,1040,Mainly by playing. ,
296675,302261,5586,"You need to get a feel for the board, where the snakes are, where the ladders are. ",
302581,304248,1667,,And how do you make sure you get the right number?
305134,307069,1935,I use my mind power.,
307073,307560,487,,Mmhmm.
307560,312876,5316,Where I try to in vision the number and then I hope to get it. ,
312876,314027,1151,,Hahaha yeah. 
314594,315610,1016,,Is it a winning concept?
316098,318729,2631,Yeah I think so but it seems that you are better at it. ,
319099,322211,3112,,You win. Ah the same fucking snake. 
322918,323465,547,Yeah. ,
323776,324550,774,Your favorite snake. ,
324599,326540,1941,,Yeah third time in a row I think. 
326540,327070,530,Yeah. ,
329696,333878,4182,,"So with your tactics and stuff, do you win the most or do you lose?"
334454,336968,2514,I would say it is very much fifty fifty.,
338598,343505,4907,Which point to this being a game of luck. ,
344833,346777,1944,,So your mind power is not that good then?
347293,349795,2502,"Yeah, well that's another way to look at it. ",
353244,354130,886,Oh. ,
354938,355925,987,,Ahhh. 
357700,360717,3017,Yeah that's the really long snake. ,
360717,361387,670,,Mmhmm. 
363000,365566,2566,,I'm hoping for the fiftyseven ladder. 
366937,369130,2193,"Oh yeah, that one is nice. ",
369992,372102,2110,I'm hoping for a two now. Oh.,
375373,376140,767,Oh. ,
376518,378270,1752,,I got it. I got it. 
378492,379639,1147,You're like an oracle. ,
379639,380559,920,,Yeah. 
380559,381770,1211,You know what is going to happen. ,
381770,383949,2179,,I got a greater mind power. 
383949,384989,1040,Yeah yeah. ,
386996,391194,4198,Lets see if you can also navigate these three snakes. ,
391194,391604,410,,Yeah. 
392232,394198,1966,,Usually hard. Of course not. 
394909,396127,1218,But you are still in the lead. ,
399031,399673,642,,Tie break. 
400177,401616,1439,Yeah it's tied. ,
404171,406420,2249,Come on. Give me a five. ,
406910,407258,348,No. ,
409376,410275,899,,Oh that's good. 
410480,411608,1128,Oh that's good yeah. ,
412658,413634,976,Six now. ,
414020,414510,490,No. ,
415770,416621,851,,I'm still in the lead. 
417278,417631,353,Yeah. ,
418251,420950,2699,I'm not running that fast it seems. ,
421505,422155,650,Oh. ,
422293,424430,2137,,Oh now it's dangerous. 
425426,426729,1303,,Three is good. 
426897,430490,3593,"Yeah yeah, three or five would be nice. ",
431558,432695,1137,Four would be bad. ,
433350,434042,692,Oh. ,
434723,435625,902,,That's really good. 
436130,436734,604,Yeah. ,
437700,440240,2540,,Do you think I will get another five now? I think a five. 
441335,443260,1925,,Two oh. 
443359,444669,1310,Now I want a five. ,
444669,446518,1849,,Can i break this snake now?
447518,449682,2164,,Will I beat it? Will I beat it?
450217,450859,642,Lets see. ,
451380,451910,530,,I did. 
452097,452720,623,Oh you did. ,
452720,453370,650,,I did. 
453550,454280,730,Nice. ,
455024,458634,3610,Okay this is really close and both are near the end. ,
458774,460444,1670,,"It's on the ""upplopp"" what's the name?"
461022,464200,3178,yeah the last leg or whatever you call it. ,
464200,465602,1402,,Yeah last leg is good. 
466549,469337,2788,"Okay so four, five or six please. ",
470000,470620,620,,Oh you got it. 
471222,472547,1325,,Oh you are going to win now. 
472733,473880,1147,Well lets see. ,
474420,475010,590,,Yeah. 
475298,477475,2177,If I hit a two or a one. ,
477569,478397,828,,No you got it. 
478488,483983,5495,Ahhhhh hahaha. ,Ahhhhh hahaha.
483983,485568,1585,You see?,
486814,488617,1803,I feel like I am very unlucky. ,
488799,489850,1051,,Mmm. 
490749,493244,2495,Okay you have to hit the two now. ,
493453,495141,1688,Oh that's good at least. ,
495762,496561,799,Ladder. ,
497447,498485,1038,Please hit the two. ,
498839,499290,451,,Yes. 
499290,501342,2052,Ohh you beat me.,
502080,502780,700,Congratulations. ,
502820,503425,605,,Thank you. 
504198,505331,1133,,Good opponent. 
505926,507672,1746,Yeah one zero to you. ,
508089,509370,1281,If you hit the restart. ,
509465,509782,317,,Yeah. 
513321,514522,1201,,I start again then. 
514846,515419,573,Yeah. ,
516770,518040,1270,Oh slow start. ,
518070,519010,940,,yes a real slow start. 
519036,520837,1801,Looks good for me. Give me a two now. ,
521657,522316,659,Oh. ,
522866,523950,1084,Just like that. ,
524022,526015,1993,,That's really good. You have very good mind power. 
526483,526911,428,Exactly. ,
527891,529020,1129,,Two again. 
530225,531676,1451,And now four. ,
533291,534485,1194,Oh six is even better. ,
534485,535646,1161,,It's even fucking better. 
535855,536509,654,Ahh. ,
537440,538414,974,This is how it should be. ,
538414,541078,2664,,I think this is the best start you can ever have in this game. 
541564,542142,578,Yeah. ,
543105,544677,1572,Maybe I am going to have a perfect game. ,
544677,546610,1933,,Yeah that would be something right. 
546985,549290,2305,So now I would need a six. ,
549703,550636,933,That would be perfect. ,
551314,551875,561,Ah. ,
554706,555410,704,Ah. ,
555698,556400,702,,"Good, yes. "
556400,557024,624,Oh. ,
557312,558724,1412,,Though I would end up on twelve. 
559212,560682,1470,You are just bellow me now. ,
561322,562500,1178,But if I get a two. ,
563037,563655,618,Ahh. ,
566713,568410,1697,,This is strangely good. 
568760,569724,964,Some skill. ,
569724,573633,3909,,"What did you have? Number two, twentythree and fifty yeah you have the best start so far. "
574070,574250,180,Yeah. ,
574250,575625,1375,,So far a perfect game for you. 
577457,578432,975,That's what I like to hear. ,
579781,580943,1162,Perfect just like me. ,
580943,581636,693,,Yeah. 
581898,583127,1229,,Hahaha. 
588415,591005,2590,,I'm just cramping on. I'm just cramping back here. 
592049,592732,683,Are you cramping?,
593005,595842,2837,,Yeah my guy is just going really slow. 
596215,596652,437,Yeah. ,
596652,597930,1278,,I think he is tired from the first run. 
598666,600860,2194,Yeah you had an impressive first game. ,
603005,603760,755,Ahh. ,
603859,604333,474,,Ahh. 
604640,605700,1060,Broke my perfect game. ,
605732,606960,1228,,Yeah but it's alright. 
607674,608516,842,,There I am. 
608838,612750,3912,Yeah you're still trailing behind. ,
612750,616601,3851,,Yeah I think I am further behind then you where after three dice rolls. 
617186,619107,1921,Hahaha yeah. ,
620182,621339,1157,Okay come on one. ,
621890,622660,770,Ah well.,
624025,625428,1403,Second best. ,Can't complain about that. 
625861,626247,386,No. ,
627327,628537,1210,I'm pretty satisfied. ,
634829,635668,839,Oh. ,
636055,637192,1137,,Hahaha. 
637410,638935,1525,Well it's a short one at least. ,
639408,643036,3628,,Am I back where I was the move before or one step ahead?
643363,644370,1007,No I think it's the same right?,
644414,645965,1551,,Yeah it's the same yeah. 
646157,648753,2596,It's a loop if you hit a six there. ,
652763,656757,3994,I mean technically this game could last forever. ,
656758,657551,793,,Yeah yeah yeah. 
659589,661496,1907,But you would have to be really unlucky. ,
666525,667547,1022,Yeah four.,
667547,668593,1046,,you are doing good as well. 
668593,669097,504,Yeah. ,
669805,671923,2118,I think this is Furhat's game. ,
673047,673855,808,,I think so as well. 
673855,674743,888,No. ,
675959,676668,709,,Cocky. 
677329,677894,565,Yeah. ,
677918,679449,1531,,Pride before fall or what do you say?
680128,680701,573,Exactly. ,
683076,687189,4113,I feel like the less you care the better you do. ,
687189,687745,556,,Yeah. 
689514,690856,1342,,That's the matrix talking to you. 
691160,691791,631,Yeah. ,
692488,694608,2120,Exactly we are all in a simulation. ,
694608,695231,623,,Yeah. 
698598,700412,1814,Come on now four. ,
701543,702169,626,Aahh. ,
703060,703786,726,So close. ,
703786,704539,753,,So close. 
705739,706767,1028,,Yes. 
706767,707210,443,Oh. ,
708482,709550,1068,,And I take the lead.
709550,710440,890,,I take the lead. 
710763,712101,1338,,I didn't see that coming. 
712511,712946,435,No. ,
712975,715054,2079,,But then again it's my favorite ladder as well. 
715365,718727,3362,Yeah yeah that's true. You always go for that one. ,
719690,721373,1683,Oh and then a six. ,
722443,727408,4965,Suddenly my lead has turned into a deficit. ,
727408,730408,3000,,"But now, yeah oh, I thought I was going to hit the snake. "
731899,734845,2946,Yeah lets see if I can get a six to catch up. ,
735042,735768,726,Ohh. ,
736916,737796,880,Just like that. ,
737796,740376,2580,,That's good. I want a number four i think. Four is best. 
740650,742221,1571,,"One, of course. "
742221,744470,2249,"Yeah four, I could go with four. ",
744832,745833,1001,Or six right?,
745924,747449,1525,,Yeah four or six is best. 
748217,748744,527,Ah. ,
748845,750528,1683,,Can't complain about that. 
750785,751131,346,No. ,
752072,753101,1029,,And this is good right. 
753115,754064,949,,Oh yes. 
754652,755507,855,That's perfect. ,
755565,756420,855,,Yeah perfect. 
757181,759735,2554,So a three or a five or a six. ,
760489,761373,884,It's fifty fifty. ,
761387,763215,1828,Ah. ,Oh. 
764605,766397,1792,No I miscalculated. ,No I miscalculated. 
768116,769399,1283,Oh it's a bug in my system.,
769399,771247,1848,,I think this snake might be my favorite. 
771693,772717,1024,Oh yeah yeah. ,
773188,773768,580,,But no. 
774559,778420,3861,Hahaha. ,Hahaha. 
778630,782165,3535,Yeah is eightynine your lucky number?,
782302,783727,1425,,Apparently not. 
784206,785796,1590,Oh okay it's your unlucky number. ,
785897,787161,1264,,I think it's your lucky number. 
787387,789185,1798,Ah that might be. ,
790879,792811,1932,I should remember that when I am gambling. ,
793103,793759,656,,Yeah. 
794784,795828,1044,"Always, ahh. ",
796102,799090,2988,,Even when you are playing black jack go for eightynine. 
799222,800851,1629,Hahaha. ,Hahaha. 
801333,802855,1522,,Hahaha. 
803556,805016,1460,Oh welcome down here. ,
805241,807431,2190,,Even though this game is quite simple 
807956,811361,3405,,"there are some events in it, the randomness in it makes it fun. "
811686,815044,3358,Yeah I agree it's amazing. ,
816846,820613,3767,,Like now we have followed each other so many times and been on the same square. 
820971,821668,697,Yeah. ,
821981,822861,880,,But not anymore.
823156,826884,3728,No because now I am going to pull ahead and win. ,
827549,828469,920,,Number six. 
828946,829219,273,,One. 
829379,830401,1022,Oh even better. ,
830401,831207,806,,It's better yeah. 
831874,832810,936,,I didn't see that coming. 
833261,833942,681,No. ,
834146,835925,1779,,You never count for a one. 
836278,837850,1572,,You hope more for a six than a one. 
838119,838760,641,Yeah yeah. ,
