,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,10:11:25:500,0,0,10876,0,1,0,0,0,0,0
1,10:11:37:016,272,10876,784,10876,1,2,0,0,0,0
2,10:11:37:800,292,11660,742,11660,1,2,2,0,0,15
3,10:11:38:542,310,12402,5700,12402,1,2,17,0,0,0
4,10:11:44:242,453,18102,784,5700,0,2,17,0,0,0
5,10:11:45:026,472,18886,743,6484,0,2,17,2,0,15
6,10:11:45:769,491,19629,4933,7227,0,2,17,17,0,0
7,10:11:50:702,614,24562,1083,4933,1,3,17,17,0,0
8,10:11:51:785,641,25645,4417,6016,1,3,20,17,0,0
9,10:11:56:202,752,30062,384,4417,0,1,20,17,0,0
10,10:11:56:586,761,30446,4732,4801,0,1,20,18,0,0
11,10:12:01:318,879,35178,1185,4732,1,3,20,18,0,0
12,10:12:02:503,909,36363,1142,5917,1,3,23,18,0,21
13,10:12:03:645,938,37505,8017,7059,1,3,44,18,0,0
14,10:12:11:662,1138,45522,1883,8017,0,5,44,18,0,0
15,10:12:13:545,1185,47405,1143,9900,0,5,44,23,0,21
16,10:12:14:688,1214,48548,5467,11043,0,5,44,44,0,0
17,10:12:20:155,1350,54015,767,5467,1,2,44,44,0,0
18,10:12:20:922,1370,54782,2817,6234,1,2,46,44,0,0
19,10:12:23:739,1440,57599,1900,2817,0,5,46,44,0,0
20,10:12:25:639,1487,59499,5283,4717,0,5,46,49,0,0
21,10:12:30:922,1620,64782,2250,5283,1,6,46,49,0,0
22,10:12:33:172,1676,67032,5017,7533,1,6,52,49,0,0
23,10:12:38:189,1801,72049,2249,5017,0,6,52,49,0,0
24,10:12:40:438,1857,74298,4152,7266,0,6,52,55,0,0
25,10:12:44:590,1961,78450,782,4152,1,2,52,55,0,0
26,10:12:45:372,1981,79232,2850,4934,1,2,54,55,0,0
27,10:12:48:222,2052,82082,1868,2850,0,5,54,55,0,0
28,10:12:50:090,2099,83950,3016,4718,0,5,54,60,0,0
29,10:12:53:106,2174,86966,1900,3016,1,5,54,60,0,0
30,10:12:55:006,2222,88866,5039,4916,1,5,59,60,0,0
31,10:13:00:045,2348,93905,1160,5039,0,3,59,60,0,0
32,10:13:01:205,2377,95065,1144,6199,0,3,59,63,-21,0
33,10:13:02:349,2405,96209,5184,7343,0,3,59,42,0,0
34,10:13:07:533,2535,101393,667,5184,1,2,59,42,0,0
35,10:13:08:200,2552,102060,2583,5851,1,2,61,42,0,0
36,10:13:10:783,2616,104643,2300,2583,0,6,61,42,0,0
37,10:13:13:083,2674,106943,3067,4883,0,6,61,48,0,0
38,10:13:16:150,2750,110010,783,3067,1,2,61,48,0,0
39,10:13:16:933,2770,110793,1145,3850,1,2,63,48,-21,0
40,10:13:18:078,2798,111938,5166,4995,1,2,42,48,0,0
41,10:13:23:244,2928,117104,1084,5166,0,3,42,48,0,0
42,10:13:24:328,2955,118188,1726,6250,0,3,42,51,-41,0
43,10:13:26:054,2998,119914,6850,7976,0,3,42,10,0,0
44,10:13:32:904,3169,126764,1166,6850,1,3,42,10,0,0
45,10:13:34:070,3198,127930,2600,8016,1,3,45,10,0,0
46,10:13:36:670,3263,130530,1534,2600,0,4,45,10,0,0
47,10:13:38:204,3302,132064,3250,4134,0,4,45,14,0,0
48,10:13:41:454,3383,135314,2267,3250,1,6,45,14,0,0
49,10:13:43:721,3440,137581,1726,5517,1,6,51,14,-41,0
50,10:13:45:447,3483,139307,10567,7243,1,6,10,14,0,0
51,10:13:56:014,3747,149874,2266,10567,0,6,10,14,0,0
52,10:13:58:280,3804,152140,4550,12833,0,6,10,20,0,0
53,10:14:02:830,3917,156690,1150,4550,1,3,10,20,0,0
54,10:14:03:980,3946,157840,4084,5700,1,3,13,20,0,0
55,10:14:08:064,4048,161924,383,4084,0,1,13,20,0,0
56,10:14:08:447,4058,162307,911,4467,0,1,13,21,0,18
57,10:14:09:358,4080,163218,7983,5378,0,1,13,39,0,0
58,10:14:17:341,4280,171201,1950,7983,1,5,13,39,0,0
59,10:14:19:291,4329,173151,2817,9933,1,5,18,39,0,0
60,10:14:22:108,4399,175968,1083,2817,0,3,18,39,0,0
61,10:14:23:191,4426,177051,4817,3900,0,3,18,42,0,0
62,10:14:28:008,4547,181868,2251,4817,1,6,18,42,0,0
63,10:14:30:259,4603,184119,2232,7068,1,6,24,42,0,0
64,10:14:32:491,4659,186351,1533,2232,0,4,24,42,0,0
65,10:14:34:024,4697,187884,3884,3765,0,4,24,46,0,0
66,10:14:37:908,4794,191768,383,3884,1,1,24,46,0,0
67,10:14:38:291,4804,192151,1127,4267,1,1,25,46,-21,0
68,10:14:39:418,4832,193278,6334,5394,1,1,4,46,0,0
69,10:14:45:752,4990,199612,1500,6334,0,4,4,46,0,0
70,10:14:47:252,5028,201112,728,7834,0,4,4,50,0,19
71,10:14:47:980,5046,201840,0,8562,0,4,4,69,0,0
