,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,15:18:54:633,0,0,5703,0,1,0,0,0,0,0
1,15:19:01:096,143,5703,1950,5703,1,5,0,0,0,0
2,15:19:03:046,191,7653,4834,7653,1,5,5,0,0,0
3,15:19:07:880,312,12487,1949,4834,0,5,5,0,0,0
4,15:19:09:829,361,14436,2784,6783,0,5,5,5,0,0
5,15:19:12:613,430,17220,1566,2784,1,4,5,5,0,0
6,15:19:14:179,470,18786,2001,4350,1,4,9,5,0,0
7,15:19:16:180,520,20787,1166,2001,0,3,9,5,0,0
8,15:19:17:346,549,21953,2783,3167,0,3,9,8,0,0
9,15:19:20:129,618,24736,684,2783,1,2,9,8,0,0
10,15:19:20:813,636,25420,1044,3467,1,2,11,8,0,20
11,15:19:21:857,662,26464,4350,4511,1,2,31,8,0,0
12,15:19:26:207,770,30814,1434,4350,0,4,31,8,0,0
13,15:19:27:641,806,32248,910,5784,0,4,31,12,-6,0
14,15:19:28:551,829,33158,3000,6694,0,4,31,6,0,0
15,15:19:31:551,904,36158,1166,3000,1,3,31,6,0,0
16,15:19:32:717,933,37324,2268,4166,1,3,34,6,0,0
17,15:19:34:985,990,39592,1832,2268,0,5,34,6,0,0
18,15:19:36:817,1036,41424,1044,4100,0,5,34,11,0,20
19,15:19:37:861,1062,42468,5167,5144,0,5,34,31,0,0
20,15:19:43:028,1191,47635,2267,5167,1,6,34,31,0,0
21,15:19:45:295,1248,49902,2200,7434,1,6,40,31,0,0
22,15:19:47:495,1303,52102,1901,2200,0,5,40,31,0,0
23,15:19:49:396,1350,54003,5349,4101,0,5,40,36,0,0
24,15:19:54:745,1484,59352,1934,5349,1,5,40,36,0,0
25,15:19:56:679,1532,61286,2116,7283,1,5,45,36,0,0
26,15:19:58:795,1585,63402,2267,2116,0,6,45,36,0,0
27,15:20:01:062,1642,65669,3133,4383,0,6,45,42,0,0
28,15:20:04:195,1720,68802,1551,3133,1,4,45,42,0,0
29,15:20:05:746,1759,70353,3066,4684,1,4,49,42,0,0
30,15:20:08:812,1835,73419,1550,3066,0,4,49,42,0,0
31,15:20:10:362,1874,74969,4416,4616,0,4,49,46,0,0
32,15:20:14:778,1985,79385,334,4416,1,1,49,46,0,0
33,15:20:15:112,1993,79719,727,4750,1,1,50,46,0,19
34,15:20:15:839,2011,80446,4134,5477,1,1,69,46,0,0
