,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,16:46:16:651,0,0,7064,0,1,0,0,0,0,0
1,16:46:24:555,177,7064,416,7064,1,1,0,0,0,0
2,16:46:24:971,187,7480,2717,7480,1,1,1,0,0,0
3,16:46:27:688,255,10197,1201,2717,0,3,1,0,0,0
4,16:46:28:889,285,11398,4900,3918,0,3,1,3,0,0
5,16:46:33:789,407,16298,1533,4900,1,4,1,3,0,0
6,16:46:35:322,446,17831,2633,6433,1,4,5,3,0,0
7,16:46:37:955,512,20464,767,2633,0,2,5,3,0,0
8,16:46:38:722,531,21231,4484,3400,0,2,5,5,0,0
9,16:46:43:206,643,25715,1566,4484,1,4,5,5,0,0
10,16:46:44:772,682,27281,1667,6050,1,4,9,5,0,0
11,16:46:46:439,724,28948,2216,1667,0,6,9,5,0,0
12,16:46:48:655,779,31164,1045,3883,0,6,9,11,0,20
13,16:46:49:700,805,32209,6350,4928,0,6,9,31,0,0
14,16:46:56:050,964,38559,2217,6350,1,6,9,31,0,0
15,16:46:58:267,1019,40776,4050,8567,1,6,15,31,0,0
16,16:47:02:317,1121,44826,2333,4050,0,6,15,31,0,0
17,16:47:04:650,1179,47159,6017,6383,0,6,15,37,0,0
18,16:47:10:667,1329,53176,815,6017,1,2,15,37,0,0
19,16:47:11:482,1350,53991,3285,6832,1,2,17,37,0,0
20,16:47:14:767,1432,57276,2233,3285,0,6,17,37,0,0
21,16:47:17:000,1488,59509,1161,5518,0,6,17,43,-21,0
22,16:47:18:161,1517,60670,6916,6679,0,6,17,22,0,0
23,16:47:25:077,1690,67586,2267,6916,1,6,17,22,0,0
24,16:47:27:344,1746,69853,1143,9183,1,6,23,22,0,21
25,16:47:28:487,1775,70996,4633,10326,1,6,44,22,0,0
26,16:47:33:120,1891,75629,400,4633,0,1,44,22,0,0
27,16:47:33:520,1901,76029,1149,5033,0,1,44,23,0,21
28,16:47:34:669,1929,77178,4494,6182,0,1,44,44,0,0
29,16:47:39:163,2042,81672,2250,4494,1,6,44,44,0,0
30,16:47:41:413,2098,83922,728,6744,1,6,50,44,0,19
31,16:47:42:141,2116,84650,3983,7472,1,6,69,44,0,0
32,16:47:46:124,2216,88633,1150,3983,0,3,69,44,0,0
33,16:47:47:274,2245,89783,4200,5133,0,3,69,47,0,0
34,16:47:51:474,2350,93983,317,4200,1,1,69,47,0,0
35,16:47:51:791,2358,94300,6083,4517,1,1,70,47,0,0
36,16:47:57:874,2510,100383,2251,6083,0,6,70,47,0,0
37,16:48:00:125,2566,102634,893,8334,0,6,70,53,-8,0
38,16:48:01:018,2588,103527,11650,9227,0,6,70,45,0,0
39,16:48:12:668,2879,115177,1567,11650,1,4,70,45,0,0
40,16:48:14:235,2919,116744,7899,13217,1,4,74,45,0,0
41,16:48:22:134,3116,124643,1550,7899,0,4,74,45,0,0
42,16:48:23:684,3155,126193,4918,9449,0,4,74,49,0,0
43,16:48:28:602,3278,131111,1167,4918,1,3,74,49,0,0
44,16:48:29:769,3307,132278,5032,6085,1,3,77,49,0,0
45,16:48:34:801,3433,137310,2234,5032,0,6,77,49,0,0
46,16:48:37:035,3489,139544,5167,7266,0,6,77,55,0,0
47,16:48:42:202,3618,144711,1833,5167,1,5,77,55,0,0
48,16:48:44:035,3664,146544,1411,7000,1,5,82,55,-18,0
49,16:48:45:446,3699,147955,2500,8411,1,5,64,55,0,0
50,16:48:47:946,3761,150455,2250,2500,0,6,64,55,0,0
51,16:48:50:196,3818,152705,3817,4750,0,6,64,61,0,0
52,16:48:54:013,3913,156522,1900,3817,1,5,64,61,0,0
53,16:48:55:913,3961,158422,3467,5717,1,5,69,61,0,0
54,16:48:59:380,4047,161889,1200,3467,0,3,69,61,0,0
55,16:49:00:580,4077,163089,5183,4667,0,3,69,64,0,0
56,16:49:05:763,4207,168272,1500,5183,1,4,69,64,0,0
57,16:49:07:263,4244,169772,2000,6683,1,4,73,64,0,0
58,16:49:09:263,4294,171772,1900,2000,0,5,73,64,0,0
59,16:49:11:163,4342,173672,6067,3900,0,5,73,69,0,0
60,16:49:17:230,4493,179739,1150,6067,1,3,73,69,0,0
61,16:49:18:380,4522,180889,2618,7217,1,3,76,69,0,0
62,16:49:20:998,4588,183507,1099,2618,0,3,76,69,0,0
63,16:49:22:097,4615,184606,10616,3717,0,3,76,72,0,0
64,16:49:32:713,4881,195222,1150,10616,1,3,76,72,0,0
65,16:49:33:863,4909,196372,1146,11766,1,3,79,72,-21,0
66,16:49:35:009,4938,197518,3032,12912,1,3,58,72,0,0
67,16:49:38:041,5014,200550,1934,3032,0,5,58,72,0,0
68,16:49:39:975,5062,202484,4117,4966,0,5,58,77,0,0
69,16:49:44:092,5165,206601,382,4117,1,1,58,77,0,0
70,16:49:44:474,5175,206983,5634,4499,1,1,59,77,0,0
71,16:49:50:108,5315,212617,368,5634,0,1,59,77,0,0
72,16:49:50:476,5325,212985,6399,6002,0,1,59,78,0,0
73,16:49:56:875,5485,219384,2250,6399,1,6,59,78,0,0
74,16:49:59:125,5541,221634,2849,8649,1,6,65,78,0,0
75,16:50:01:974,5612,224483,1067,2849,0,3,65,78,0,0
76,16:50:03:041,5639,225550,7384,3916,0,3,65,81,0,0
77,16:50:10:425,5823,232934,1867,7384,1,5,65,81,0,0
78,16:50:12:292,5870,234801,3649,9251,1,5,70,81,0,0
79,16:50:15:941,5961,238450,784,3649,0,2,70,81,0,0
80,16:50:16:725,5981,239234,6384,4433,0,2,70,83,0,0
81,16:50:23:109,6140,245618,2333,6384,1,6,70,83,0,0
82,16:50:25:442,6199,247951,4967,8717,1,6,76,83,0,0
83,16:50:30:409,6323,252918,2300,4967,0,6,76,83,0,0
84,16:50:32:709,6380,255218,912,7267,0,6,76,89,-18,0
85,16:50:33:621,6403,256130,6433,8179,0,6,76,71,0,0
86,16:50:40:054,6564,262563,1834,6433,1,5,76,71,0,0
87,16:50:41:888,6610,264397,5799,8267,1,5,81,71,0,0
88,16:50:47:687,6755,270196,1533,5799,0,4,81,71,0,0
89,16:50:49:220,6793,271729,16917,7332,0,4,81,75,0,0
90,16:51:06:137,7216,288646,1150,16917,1,3,81,75,0,0
91,16:51:07:287,7245,289796,3067,18067,1,3,84,75,0,0
92,16:51:10:354,7322,292863,784,3067,0,2,84,75,0,0
93,16:51:11:138,7341,293647,11716,3851,0,2,84,77,0,0
94,16:51:22:854,7634,305363,2251,11716,1,6,84,77,0,0
95,16:51:25:105,7690,307614,3083,13967,1,6,90,77,0,0
96,16:51:28:188,7767,310697,2232,3083,0,6,90,77,0,0
97,16:51:30:420,7823,312929,19018,5315,0,6,90,83,0,0
98,16:51:49:438,8299,331947,1916,19018,1,5,90,83,0,0
99,16:51:51:354,8347,333863,3300,20934,1,5,95,83,0,0
100,16:51:54:654,8429,337163,1533,3300,0,4,95,83,0,0
101,16:51:56:187,8467,338696,1644,4833,0,4,95,87,-40,0
102,16:51:57:831,8508,340340,10017,6477,0,4,95,47,0,0
103,16:52:07:848,8759,350357,801,10017,1,2,95,47,0,0
