,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,14:18:24:372,0,0,32878,0,1,0,0,0,0,0
1,14:18:58:130,822,32878,2334,32878,1,6,0,0,0,0
2,14:19:00:464,880,35212,3617,35212,1,6,6,0,0,0
3,14:19:04:081,971,38829,1949,3617,0,5,6,0,0,0
4,14:19:06:030,1019,40778,5333,5566,0,5,6,5,0,0
5,14:19:11:363,1153,46111,2218,5333,1,6,6,5,0,0
6,14:19:13:581,1208,48329,910,7551,1,6,12,5,-6,0
7,14:19:14:491,1231,49239,6901,8461,1,6,6,5,0,0
8,14:19:21:392,1404,56140,400,6901,0,1,6,5,0,0
9,14:19:21:792,1414,56540,7266,7301,0,1,6,6,0,0
10,14:19:29:058,1595,63806,2200,7266,1,6,6,6,0,0
11,14:19:31:258,1650,66006,912,9466,1,6,12,6,-6,0
12,14:19:32:170,1673,66918,5099,10378,1,6,6,6,0,0
13,14:19:37:269,1800,72017,1150,5099,0,3,6,6,0,0
14,14:19:38:419,1829,73167,4649,6249,0,3,6,9,0,0
15,14:19:43:068,1945,77816,384,4649,1,1,6,9,0,0
16,14:19:43:452,1955,78200,2784,5033,1,1,7,9,0,0
17,14:19:46:236,2025,80984,2216,2784,0,6,7,9,0,0
18,14:19:48:452,2080,83200,9266,5000,0,6,7,15,0,0
19,14:19:57:718,2312,92466,784,9266,1,2,7,15,0,0
20,14:19:58:502,2331,93250,2483,10050,1,2,9,15,0,0
21,14:20:00:985,2393,95733,1568,2483,0,4,9,15,0,0
22,14:20:02:553,2433,97301,911,4051,0,4,9,19,-18,0
23,14:20:03:464,2455,98212,4783,4962,0,4,9,1,0,0
24,14:20:08:247,2575,102995,1050,4783,1,3,9,1,0,0
25,14:20:09:297,2601,104045,911,5833,1,3,12,1,-6,0
26,14:20:10:208,2624,104956,4566,6744,1,3,6,1,0,0
27,14:20:14:774,2738,109522,1551,4566,0,4,6,1,0,0
28,14:20:16:325,2777,111073,8367,6117,0,4,6,5,0,0
29,14:20:24:692,2986,119440,1466,8367,1,4,6,5,0,0
30,14:20:26:158,3023,120906,5517,9833,1,4,10,5,0,0
31,14:20:31:675,3161,126423,384,5517,0,1,10,5,0,0
