,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,11:04:30:924,0,0,15341,0,1,0,0,0,0,0
1,11:04:47:185,384,15341,1183,15341,1,3,0,0,0,0
2,11:04:48:368,413,16524,3417,16524,1,3,3,0,0,0
3,11:04:51:785,499,19941,1967,3417,0,5,3,0,0,0
4,11:04:53:752,548,21908,2416,5384,0,5,3,5,0,0
5,11:04:56:168,608,24324,2334,2416,1,6,3,5,0,0
6,11:04:58:502,666,26658,3750,4750,1,6,9,5,0,0
7,11:05:02:252,760,30408,782,3750,0,2,9,5,0,0
8,11:05:03:034,780,31190,2785,4532,0,2,9,7,0,0
9,11:05:05:819,849,33975,2215,2785,1,6,9,7,0,0
10,11:05:08:034,905,36190,4651,5000,1,6,15,7,0,0
11,11:05:12:685,1021,40841,384,4651,0,1,15,7,0,0
12,11:05:13:069,1031,41225,2733,5035,0,1,15,8,0,0
13,11:05:15:802,1099,43958,817,2733,1,2,15,8,0,0
14,11:05:16:619,1119,44775,3683,3550,1,2,17,8,0,0
15,11:05:20:302,1211,48458,1434,3683,0,4,17,8,0,0
16,11:05:21:736,1247,49892,909,5117,0,4,17,12,-6,0
17,11:05:22:645,1270,50801,2534,6026,0,4,17,6,0,0
18,11:05:25:179,1333,53335,1466,2534,1,4,17,6,0,0
19,11:05:26:645,1370,54801,910,4000,1,4,21,6,0,18
20,11:05:27:555,1393,55711,4051,4910,1,4,39,6,0,0
21,11:05:31:606,1494,59762,1166,4051,0,3,39,6,0,0
22,11:05:32:772,1523,60928,2033,5217,0,3,39,9,0,0
23,11:05:34:805,1574,62961,1851,2033,1,5,39,9,0,0
24,11:05:36:656,1620,64812,3200,3884,1,5,44,9,0,0
25,11:05:39:856,1700,68012,316,3200,0,1,44,9,0,0
26,11:05:40:172,1708,68328,2134,3516,0,1,44,10,0,0
27,11:05:42:306,1762,70462,1517,2134,1,4,44,10,0,0
28,11:05:43:823,1799,71979,3882,3651,1,4,48,10,0,0
29,11:05:47:705,1897,75861,1900,3882,0,5,48,10,0,0
30,11:05:49:605,1944,77761,1785,5782,0,5,48,15,0,0
31,11:05:51:390,1989,79546,382,1785,1,1,48,15,0,0
32,11:05:51:772,1998,79928,3034,2167,1,1,49,15,0,0
33,11:05:54:806,2074,82962,1899,3034,0,5,49,15,0,0
34,11:05:56:705,2122,84861,2001,4933,0,5,49,20,0,0
35,11:05:58:706,2172,86862,334,2001,1,1,49,20,0,0
36,11:05:59:040,2180,87196,727,2335,1,1,50,20,0,19
37,11:05:59:767,2198,87923,4916,3062,1,1,69,20,0,0
38,11:06:04:683,2321,92839,2317,4916,0,6,69,20,0,0
39,11:06:07:000,2379,95156,2016,7233,0,6,69,26,0,0
40,11:06:09:016,2429,97172,717,2016,1,2,69,26,0,0
41,11:06:09:733,2447,97889,2416,2733,1,2,71,26,0,0
42,11:06:12:149,2508,100305,1917,2416,0,5,71,26,0,0
43,11:06:14:066,2556,102222,2484,4333,0,5,71,31,0,0
44,11:06:16:550,2618,104706,383,2484,1,1,71,31,0,0
45,11:06:16:933,2627,105089,5033,2867,1,1,72,31,0,0
46,11:06:21:966,2753,110122,2334,5033,0,6,72,31,0,0
47,11:06:24:300,2811,112456,3600,7367,0,6,72,37,0,0
48,11:06:27:900,2901,116056,767,3600,1,2,72,37,0,0
49,11:06:28:667,2921,116823,8283,4367,1,2,74,37,0,0
50,11:06:36:950,3128,125106,1833,8283,0,5,74,37,0,0
51,11:06:38:783,3173,126939,2833,10116,0,5,74,42,0,0
52,11:06:41:616,3244,129772,784,2833,1,2,74,42,0,0
53,11:06:42:400,3264,130556,5000,3617,1,2,76,42,0,0
54,11:06:47:400,3389,135556,784,5000,0,2,76,42,0,0
55,11:06:48:184,3408,136340,2500,5784,0,2,76,44,0,0
56,11:06:50:684,3471,138840,1816,2500,1,5,76,44,0,0
57,11:06:52:500,3516,140656,4550,4316,1,5,81,44,0,0
58,11:06:57:050,3630,145206,1151,4550,0,3,81,44,0,0
59,11:06:58:201,3659,146357,5332,5701,0,3,81,47,0,0
60,11:07:03:533,3792,151689,1534,5332,1,4,81,47,0,0
61,11:07:05:067,3831,153223,894,6866,1,4,85,47,-12,0
62,11:07:05:961,3853,154117,4683,7760,1,4,73,47,0,0
63,11:07:10:644,3970,158800,2217,4683,0,6,73,47,0,0
64,11:07:12:861,4025,161017,893,6900,0,6,73,53,-8,0
