,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,13:22:52:701,0,0,14239,0,1,0,0,0,0,0
1,13:23:07:860,356,14239,2350,14239,1,6,0,0,0,0
2,13:23:10:210,415,16589,3583,16589,1,6,6,0,0,0
3,13:23:13:793,504,20172,417,3583,0,1,6,0,0,0
4,13:23:14:210,515,20589,4250,4000,0,1,6,1,0,0
5,13:23:18:460,621,24839,767,4250,1,2,6,1,0,0
6,13:23:19:227,640,25606,2784,5017,1,2,8,1,0,0
7,13:23:22:011,710,28390,367,2784,0,1,8,1,0,0
8,13:23:22:378,719,28757,741,3151,0,1,8,2,0,15
9,13:23:23:119,737,29498,2501,3892,0,1,8,17,0,0
10,13:23:25:620,800,31999,716,2501,1,2,8,17,0,0
11,13:23:26:336,818,32715,2434,3217,1,2,10,17,0,0
12,13:23:28:770,879,35149,383,2434,0,1,10,17,0,0
13,13:23:29:153,888,35532,2900,2817,0,1,10,18,0,0
14,13:23:32:053,961,38432,733,2900,1,2,10,18,0,0
15,13:23:32:786,979,39165,909,3633,1,2,12,18,-6,0
16,13:23:33:695,1002,40074,6200,4542,1,2,6,18,0,0
17,13:23:39:895,1157,46274,1083,6200,0,3,6,18,0,0
18,13:23:40:978,1184,47357,910,7283,0,3,6,21,0,18
19,13:23:41:888,1207,48267,3350,8193,0,3,6,39,0,0
20,13:23:45:238,1290,51617,1833,3350,1,5,6,39,0,0
21,13:23:47:071,1336,53450,1043,5183,1,5,11,39,0,20
22,13:23:48:114,1362,54493,4033,6226,1,5,31,39,0,0
23,13:23:52:147,1463,58526,1850,4033,0,5,31,39,0,0
24,13:23:53:997,1509,60376,3151,5883,0,5,31,44,0,0
25,13:23:57:148,1588,63527,2349,3151,1,6,31,44,0,0
26,13:23:59:497,1647,65876,4034,5500,1,6,37,44,0,0
27,13:24:03:531,1748,69910,2234,4034,0,6,37,44,0,0
28,13:24:05:765,1804,72144,725,6268,0,6,37,50,0,19
29,13:24:06:490,1822,72869,3282,6993,0,6,37,69,0,0
30,13:24:09:772,1904,76151,1835,3282,1,5,37,69,0,0
31,13:24:11:607,1950,77986,2750,5117,1,5,42,69,0,0
32,13:24:14:357,2018,80736,1483,2750,0,4,42,69,0,0
33,13:24:15:840,2055,82219,2817,4233,0,4,42,73,0,0
34,13:24:18:657,2126,85036,400,2817,1,1,42,73,0,0
35,13:24:19:057,2136,85436,1159,3217,1,1,43,73,-21,0
36,13:24:20:216,2165,86595,4349,4376,1,1,22,73,0,0
37,13:24:24:565,2274,90944,1900,4349,0,5,22,73,0,0
38,13:24:26:465,2321,92844,2517,6249,0,5,22,78,0,0
39,13:24:28:982,2384,95361,1516,2517,1,4,22,78,0,0
40,13:24:30:498,2422,96877,3134,4033,1,4,26,78,0,0
41,13:24:33:632,2500,100011,2217,3134,0,6,26,78,0,0
42,13:24:35:849,2556,102228,2567,5351,0,6,26,84,0,0
43,13:24:38:416,2620,104795,1516,2567,1,4,26,84,0,0
44,13:24:39:932,2658,106311,3550,4083,1,4,30,84,0,0
45,13:24:43:482,2747,109861,1567,3550,0,4,30,84,0,0
46,13:24:45:049,2786,111428,2317,5117,0,4,30,88,0,0
47,13:24:47:366,2844,113745,1533,2317,1,4,30,88,0,0
48,13:24:48:899,2882,115278,3583,3850,1,4,34,88,0,0
49,13:24:52:482,2972,118861,384,3583,0,1,34,88,0,0
50,13:24:52:866,2981,119245,910,3967,0,1,34,89,-18,0
51,13:24:53:776,3004,120155,2182,4877,0,1,34,71,0,0
52,13:24:55:958,3058,122337,384,2182,1,1,34,71,0,0
53,13:24:56:342,3068,122721,3682,2566,1,1,35,71,0,0
54,13:25:00:024,3160,126403,1151,3682,0,3,35,71,0,0
55,13:25:01:175,3189,127554,2250,4833,0,3,35,74,0,0
56,13:25:03:425,3245,129804,800,2250,1,2,35,74,0,0
57,13:25:04:225,3265,130604,2533,3050,1,2,37,74,0,0
58,13:25:06:758,3328,133137,1917,2533,0,5,37,74,0,0
59,13:25:08:675,3376,135054,1143,4450,0,5,37,79,-21,0
60,13:25:09:818,3405,136197,2815,5593,0,5,37,58,0,0
61,13:25:12:633,3475,139012,2250,2815,1,6,37,58,0,0
62,13:25:14:883,3532,141262,1159,5065,1,6,43,58,-21,0
63,13:25:16:042,3561,142421,2767,6224,1,6,22,58,0,0
64,13:25:18:809,3630,145188,1066,2767,0,3,22,58,0,0
65,13:25:19:875,3656,146254,2784,3833,0,3,22,61,0,0
66,13:25:22:659,3726,149038,1550,2784,1,4,22,61,0,0
67,13:25:24:209,3765,150588,3833,4334,1,4,26,61,0,0
68,13:25:28:042,3861,154421,2350,3833,0,6,26,61,0,0
69,13:25:30:392,3919,156771,2051,6183,0,6,26,67,0,0
70,13:25:32:443,3971,158822,799,2051,1,2,26,67,0,0
71,13:25:33:242,3991,159621,2801,2850,1,2,28,67,0,0
72,13:25:36:043,4061,162422,766,2801,0,2,28,67,0,0
73,13:25:36:809,4080,163188,2300,3567,0,2,28,69,0,0
74,13:25:39:109,4137,165488,1483,2300,1,4,28,69,0,0
75,13:25:40:592,4174,166971,2617,3783,1,4,32,69,0,0
76,13:25:43:209,4240,169588,1867,2617,0,5,32,69,0,0
77,13:25:45:076,4286,171455,3166,4484,0,5,32,74,0,0
78,13:25:48:242,4366,174621,2367,3166,1,6,32,74,0,0
79,13:25:50:609,4425,176988,1784,5533,1,6,38,74,0,0
80,13:25:52:393,4469,178772,2200,1784,0,6,38,74,0,0
81,13:25:54:593,4524,180972,2617,3984,0,6,38,80,0,0
82,13:25:57:210,4590,183589,1849,2617,1,5,38,80,0,0
83,13:25:59:059,4636,185438,1161,4466,1,5,43,80,-21,0
84,13:26:00:220,4665,186599,2582,5627,1,5,22,80,0,0
85,13:26:02:802,4730,189181,1533,2582,0,4,22,80,0,0
86,13:26:04:335,4768,190714,2434,4115,0,4,22,84,0,0
87,13:26:06:769,4829,193148,1550,2434,1,4,22,84,0,0
