,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,13:28:51:551,0,0,18135,0,1,0,0,0,0,0
1,13:29:10:646,453,18135,2367,18135,1,6,0,0,0,0
2,13:29:13:013,513,20502,4899,20502,1,6,6,0,0,0
3,13:29:17:912,635,25401,417,4899,0,1,6,0,0,0
4,13:29:18:329,645,25818,4533,5316,0,1,6,1,0,0
5,13:29:22:862,759,30351,767,4533,1,2,6,1,0,0
6,13:29:23:629,778,31118,2434,5300,1,2,8,1,0,0
7,13:29:26:063,839,33552,783,2434,0,2,8,1,0,0
8,13:29:26:846,858,34335,3683,3217,0,2,8,3,0,0
9,13:29:30:529,950,38018,384,3683,1,1,8,3,0,0
10,13:29:30:913,960,38402,4750,4067,1,1,9,3,0,0
11,13:29:35:663,1079,43152,1933,4750,0,5,9,3,0,0
12,13:29:37:596,1127,45085,4717,6683,0,5,9,8,0,0
13,13:29:42:313,1245,49802,1466,4717,1,4,9,8,0,0
14,13:29:43:779,1282,51268,3584,6183,1,4,13,8,0,0
15,13:29:47:363,1371,54852,1866,3584,0,5,13,8,0,0
16,13:29:49:229,1418,56718,4750,5450,0,5,13,13,0,0
17,13:29:53:979,1537,61468,2318,4750,1,6,13,13,0,0
18,13:29:56:297,1595,63786,909,7068,1,6,19,13,-18,0
19,13:29:57:206,1617,64695,9134,7977,1,6,1,13,0,0
20,13:30:06:340,1846,73829,749,9134,0,2,1,13,0,0
21,13:30:07:089,1864,74578,3100,9883,0,2,1,15,0,0
22,13:30:10:189,1942,77678,2333,3100,1,6,1,15,0,0
23,13:30:12:522,2000,80011,3700,5433,1,6,7,15,0,0
24,13:30:16:222,2093,83711,35077,3700,0,6,7,15,0,0
25,13:30:51:299,2970,118788,21834,35077,1,4,31,46,0,0
26,13:31:13:133,3516,140622,1867,21834,0,5,31,46,0,0
27,13:31:15:000,3562,142489,1725,23701,0,5,31,51,-41,0
28,13:31:16:725,3605,144214,7650,25426,0,5,31,10,0,0
29,13:31:24:375,3797,151864,783,7650,1,2,31,10,0,0
30,13:31:25:158,3816,152647,910,8433,1,2,33,10,-6,0
31,13:31:26:068,3839,153557,5967,9343,1,2,27,10,0,0
32,13:31:32:035,3988,159524,2299,5967,0,6,27,10,0,0
33,13:31:34:334,4046,161823,3384,8266,0,6,27,16,0,0
34,13:31:37:718,4130,165207,2300,3384,1,6,27,16,0,0
35,13:31:40:018,4188,167507,909,5684,1,6,33,16,-6,0
36,13:31:40:927,4210,168416,3465,6593,1,6,27,16,0,0
37,13:31:44:392,4297,171881,2285,3465,0,6,27,16,0,0
38,13:31:46:677,4354,174166,3782,5750,0,6,27,22,0,0
39,13:31:50:459,4449,177948,1117,3782,1,3,27,22,0,0
40,13:31:51:576,4477,179065,2634,4899,1,3,30,22,0,0
41,13:31:54:210,4542,181699,1933,2634,0,5,30,22,0,0
42,13:31:56:143,4591,183632,3433,4567,0,5,30,27,0,0
43,13:31:59:576,4677,187065,1550,3433,1,4,30,27,0,0
44,13:32:01:126,4715,188615,2283,4983,1,4,34,27,0,0
45,13:32:03:409,4772,190898,1517,2283,0,4,34,27,0,0
46,13:32:04:926,4810,192415,3901,3800,0,4,34,31,0,0
47,13:32:08:827,4908,196316,2250,3901,1,6,34,31,0,0
48,13:32:11:077,4964,198566,3766,6151,1,6,40,31,0,0
49,13:32:14:843,5058,202332,2333,3766,0,6,40,31,0,0
50,13:32:17:176,5117,204665,3150,6099,0,6,40,37,0,0
51,13:32:20:326,5195,207815,1167,3150,1,3,40,37,0,0
52,13:32:21:493,5225,208982,1165,4317,1,3,43,37,-21,0
53,13:32:22:658,5254,210147,4560,5482,1,3,22,37,0,0
54,13:32:27:218,5368,214707,1084,4560,0,3,22,37,0,0
55,13:32:28:302,5395,215791,2867,5644,0,3,22,40,0,0
56,13:32:31:169,5466,218658,1933,2867,1,5,22,40,0,0
57,13:32:33:102,5515,220591,2433,4800,1,5,27,40,0,0
58,13:32:35:535,5576,223024,1934,2433,0,5,27,40,0,0
59,13:32:37:469,5624,224958,2717,4367,0,5,27,45,0,0
60,13:32:40:186,5692,227675,1517,2717,1,4,27,45,0,0
61,13:32:41:703,5730,229192,2199,4234,1,4,31,45,0,0
62,13:32:43:902,5785,231391,1867,2199,0,5,31,45,0,0
63,13:32:45:769,5831,233258,727,4066,0,5,31,50,0,19
64,13:32:46:496,5850,233985,5550,4793,0,5,31,69,0,0
65,13:32:52:046,5988,239535,1517,5550,1,4,31,69,0,0
66,13:32:53:563,6026,241052,7183,7067,1,4,35,69,0,0
67,13:33:00:746,6206,248235,317,7183,0,1,35,69,0,0
68,13:33:01:063,6214,248552,3250,7500,0,1,35,70,0,0
69,13:33:04:313,6295,251802,2266,3250,1,6,35,70,0,0
70,13:33:06:579,6352,254068,893,5516,1,6,41,70,-4,0
71,13:33:07:472,6374,254961,3835,6409,1,6,37,70,0,0
72,13:33:11:307,6470,258796,2316,3835,0,6,37,70,0,0
73,13:33:13:623,6528,261112,2883,6151,0,6,37,76,0,0
74,13:33:16:506,6600,263995,400,2883,1,1,37,76,0,0
75,13:33:16:906,6610,264395,7551,3283,1,1,38,76,0,0
76,13:33:24:457,6799,271946,383,7551,0,1,38,76,0,0
77,13:33:24:840,6808,272329,3867,7934,0,1,38,77,0,0
78,13:33:28:707,6905,276196,683,3867,1,2,38,77,0,0
79,13:33:29:390,6922,276879,2650,4550,1,2,40,77,0,0
80,13:33:32:040,6988,279529,767,2650,0,2,40,77,0,0
81,13:33:32:807,7007,280296,1142,3417,0,2,40,79,-21,0
82,13:33:33:949,7036,281438,2467,4559,0,2,40,58,0,0
83,13:33:36:416,7098,283905,767,2467,1,2,40,58,0,0
84,13:33:37:183,7117,284672,4150,3234,1,2,42,58,0,0
85,13:33:41:333,7221,288822,1066,4150,0,3,42,58,0,0
86,13:33:42:399,7247,289888,3734,5216,0,3,42,61,0,0
87,13:33:46:133,7341,293622,400,3734,1,1,42,61,0,0
88,13:33:46:533,7351,294022,1160,4134,1,1,43,61,-21,0
89,13:33:47:693,7380,295182,5333,5294,1,1,22,61,0,0
90,13:33:53:026,7513,300515,1566,5333,0,4,22,61,0,0
91,13:33:54:592,7552,302081,2517,6899,0,4,22,65,0,0
92,13:33:57:109,7615,304598,1950,2517,1,5,22,65,0,0
93,13:33:59:059,7664,306548,2750,4467,1,5,27,65,0,0
94,13:34:01:809,7732,309298,1867,2750,0,5,27,65,0,0
95,13:34:03:676,7779,311165,2233,4617,0,5,27,70,0,0
96,13:34:05:909,7835,313398,401,2233,1,1,27,70,0,0
97,13:34:06:310,7845,313799,6083,2634,1,1,28,70,0,0
98,13:34:12:393,7997,319882,1550,6083,0,4,28,70,0,0
99,13:34:13:943,8036,321432,2166,7633,0,4,28,74,0,0
100,13:34:16:109,8090,323598,717,2166,1,2,28,74,0,0
101,13:34:16:826,8108,324315,2534,2883,1,2,30,74,0,0
102,13:34:19:360,8171,326849,1932,2534,0,5,30,74,0,0
103,13:34:21:292,8220,328781,1145,4466,0,5,30,79,-21,0
104,13:34:22:437,8248,329926,2167,5611,0,5,30,58,0,0
105,13:34:24:604,8302,332093,399,2167,1,1,30,58,0,0
106,13:34:25:003,8312,332492,3134,2566,1,1,31,58,0,0
107,13:34:28:137,8391,335626,2233,3134,0,6,31,58,0,0
108,13:34:30:370,8446,337859,2666,5367,0,6,31,64,0,0
109,13:34:33:036,8513,340525,1901,2666,1,5,31,64,0,0
110,13:34:34:937,8561,342426,2633,4567,1,5,36,64,0,0
111,13:34:37:570,8626,345059,2216,2633,0,6,36,64,0,0
112,13:34:39:786,8682,347275,4151,4849,0,6,36,70,0,0
113,13:34:43:937,8786,351426,433,4151,1,1,36,70,0,0
114,13:34:44:370,8796,351859,6417,4584,1,1,37,70,0,0
115,13:34:50:787,8957,358276,1167,6417,0,3,37,70,0,0
116,13:34:51:954,8986,359443,2749,7584,0,3,37,73,0,0
117,13:34:54:703,9055,362192,1084,2749,1,3,37,73,0,0
118,13:34:55:787,9082,363276,2950,3833,1,3,40,73,0,0
119,13:34:58:737,9156,366226,2284,2950,0,6,40,73,0,0
120,13:35:01:021,9213,368510,1142,5234,0,6,40,79,-21,0
121,13:35:02:163,9241,369652,2334,6376,0,6,40,58,0,0
122,13:35:04:497,9300,371986,2299,2334,1,6,40,58,0,0
123,13:35:06:796,9357,374285,2417,4633,1,6,46,58,0,0
124,13:35:09:213,9418,376702,2234,2417,0,6,46,58,0,0
125,13:35:11:447,9473,378936,2467,4651,0,6,46,64,0,0
126,13:35:13:914,9535,381403,1167,2467,1,3,46,64,0,0
127,13:35:15:081,9564,382570,1916,3634,1,3,49,64,0,0
128,13:35:16:997,9612,384486,1516,1916,0,4,49,64,0,0
129,13:35:18:513,9650,386002,2417,3432,0,4,49,68,0,0
130,13:35:20:930,9710,388419,333,2417,1,1,49,68,0,0
131,13:35:21:263,9719,388752,727,2750,1,1,50,68,0,19
132,13:35:21:990,9737,389479,4018,3477,1,1,69,68,0,0
133,13:35:26:008,9837,393497,1899,4018,0,5,69,68,0,0
134,13:35:27:907,9885,395396,2334,5917,0,5,69,73,0,0
135,13:35:30:241,9943,397730,2250,2334,1,6,69,73,0,0
136,13:35:32:491,10000,399980,1983,4584,1,6,75,73,0,0
137,13:35:34:474,10049,401963,2300,1983,0,6,75,73,0,0
138,13:35:36:774,10107,404263,1144,4283,0,6,75,79,-21,0
139,13:35:37:918,10135,405407,2050,5427,0,6,75,58,0,0
140,13:35:39:968,10186,407457,1150,2050,1,3,75,58,0,0
141,13:35:41:118,10215,408607,2549,3200,1,3,78,58,0,0
142,13:35:43:667,10279,411156,1435,2549,0,4,78,58,0,0
143,13:35:45:102,10315,412591,2933,3984,0,4,78,62,0,0
144,13:35:48:035,10388,415524,683,2933,1,2,78,62,0,0
145,13:35:48:718,10405,416207,2767,3616,1,2,80,62,0,0
146,13:35:51:485,10474,418974,2316,2767,0,6,80,62,0,0
