,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,15:51:08:775,0,0,14237,0,1,0,0,0,0,0
1,15:51:24:012,356,14237,1183,14237,1,3,0,0,0,0
2,15:51:25:195,386,15420,4067,15420,1,3,3,0,0,0
3,15:51:29:262,487,19487,1949,4067,0,5,3,0,0,0
4,15:51:31:211,536,21436,5434,6016,0,5,3,5,0,0
5,15:51:36:645,672,26870,2334,5434,1,6,3,5,0,0
6,15:51:38:979,730,29204,2750,7768,1,6,9,5,0,0
7,15:51:41:729,799,31954,2251,2750,0,6,9,5,0,0
8,15:51:43:980,855,34205,1043,5001,0,6,9,11,0,20
9,15:51:45:023,881,35248,4916,6044,0,6,9,31,0,0
10,15:51:49:939,1004,40164,1050,4916,1,3,9,31,0,0
11,15:51:50:989,1030,41214,911,5966,1,3,12,31,-6,0
12,15:51:51:900,1053,42125,4100,6877,1,3,6,31,0,0
13,15:51:56:000,1156,46225,367,4100,0,1,6,31,0,0
14,15:51:56:367,1165,46592,3699,4467,0,1,6,32,0,0
15,15:52:00:066,1257,50291,384,3699,1,1,6,32,0,0
16,15:52:00:450,1267,50675,2100,4083,1,1,7,32,0,0
17,15:52:02:550,1319,52775,783,2100,0,2,7,32,0,0
18,15:52:03:333,1339,53558,3567,2883,0,2,7,34,0,0
19,15:52:06:900,1428,57125,1817,3567,1,5,7,34,0,0
20,15:52:08:717,1474,58942,909,5384,1,5,12,34,-6,0
21,15:52:09:626,1496,59851,8516,6293,1,5,6,34,0,0
22,15:52:18:142,1709,68367,1584,8516,0,4,6,34,0,0
23,15:52:19:726,1749,69951,5983,10100,0,4,6,38,0,0
24,15:52:25:709,1898,75934,1467,5983,1,4,6,38,0,0
25,15:52:27:176,1935,77401,2933,7450,1,4,10,38,0,0
26,15:52:30:109,2008,80334,1050,2933,0,3,10,38,0,0
27,15:52:31:159,2035,81384,893,3983,0,3,10,41,-4,0
28,15:52:32:052,2057,82277,7834,4876,0,3,10,37,0,0
29,15:52:39:886,2253,90111,733,7834,1,2,10,37,0,0
30,15:52:40:619,2271,90844,908,8567,1,2,12,37,-6,0
31,15:52:41:527,2294,91752,8417,9475,1,2,6,37,0,0
32,15:52:49:944,2504,100169,1450,8417,0,4,6,37,0,0
33,15:52:51:394,2540,101619,893,9867,0,4,6,41,-4,0
34,15:52:52:287,2563,102512,7317,10760,0,4,6,37,0,0
35,15:52:59:604,2746,109829,1150,7317,1,3,6,37,0,0
36,15:53:00:754,2774,110979,2567,8467,1,3,9,37,0,0
37,15:53:03:321,2839,113546,1083,2567,0,3,9,37,0,0
38,15:53:04:404,2866,114629,4350,3650,0,3,9,40,0,0
39,15:53:08:754,2974,118979,317,4350,1,1,9,40,0,0
40,15:53:09:071,2982,119296,4249,4667,1,1,10,40,0,0
41,15:53:13:320,3089,123545,2301,4249,0,6,10,40,0,0
42,15:53:15:621,3146,125846,5116,6550,0,6,10,46,0,0
43,15:53:20:737,3274,130962,1900,5116,1,5,10,46,0,0
44,15:53:22:637,3322,132862,5917,7016,1,5,15,46,0,0
45,15:53:28:554,3469,138779,1467,5917,0,4,15,46,0,0
46,15:53:30:021,3506,140246,725,7384,0,4,15,50,0,19
47,15:53:30:746,3524,140971,6250,8109,0,4,15,69,0,0
48,15:53:36:996,3681,147221,1567,6250,1,4,15,69,0,0
49,15:53:38:563,3720,148788,908,7817,1,4,19,69,-18,0
50,15:53:39:471,3742,149696,8034,8725,1,4,1,69,0,0
51,15:53:47:505,3943,157730,1483,8034,0,4,1,69,0,0
52,15:53:48:988,3980,159213,4001,9517,0,4,1,73,0,0
53,15:53:52:989,4080,163214,2332,4001,1,6,1,73,0,0
54,15:53:55:321,4139,165546,2050,6333,1,6,7,73,0,0
55,15:53:57:371,4190,167596,733,2050,0,2,7,73,0,0
56,15:53:58:104,4208,168329,6600,2783,0,2,7,75,0,0
