,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,10:54:12:096,0,0,10855,0,1,0,0,0,0,0
1,10:54:23:991,271,10855,784,10855,1,2,0,0,0,0
2,10:54:24:775,291,11639,744,11639,1,2,2,0,0,15
3,10:54:25:519,310,12383,5767,12383,1,2,17,0,0,0
4,10:54:31:286,454,18150,2334,5767,0,6,17,0,0,0
5,10:54:33:620,512,20484,4149,8101,0,6,17,6,0,0
6,10:54:37:769,616,24633,750,4149,1,2,17,6,0,0
7,10:54:38:519,635,25383,912,4899,1,2,19,6,-18,0
8,10:54:39:431,657,26295,4316,5811,1,2,1,6,0,0
9,10:54:43:747,765,30611,383,4316,0,1,1,6,0,0
10,10:54:44:130,775,30994,5317,4699,0,1,1,7,0,0
11,10:54:49:447,908,36311,1149,5317,1,3,1,7,0,0
12,10:54:50:596,936,37460,3084,6466,1,3,4,7,0,0
13,10:54:53:680,1014,40544,1100,3084,0,3,4,7,0,0
14,10:54:54:780,1041,41644,7250,4184,0,3,4,10,0,0
15,10:55:02:030,1222,48894,1934,7250,1,5,4,10,0,0
16,10:55:03:964,1271,50828,3184,9184,1,5,9,10,0,0
17,10:55:07:148,1350,54012,1149,3184,0,3,9,10,0,0
18,10:55:08:297,1379,55161,3417,4333,0,3,9,13,0,0
19,10:55:11:714,1464,58578,1851,3417,1,5,9,13,0,0
20,10:55:13:565,1511,60429,2332,5268,1,5,14,13,0,0
21,10:55:15:897,1569,62761,1950,2332,0,5,14,13,0,0
22,10:55:17:847,1618,64711,3517,4282,0,5,14,18,0,0
23,10:55:21:364,1706,68228,1933,3517,1,5,14,18,0,0
24,10:55:23:297,1754,70161,910,5450,1,5,19,18,-18,0
25,10:55:24:207,1777,71071,4416,6360,1,5,1,18,0,0
26,10:55:28:623,1887,75487,701,4416,0,2,1,18,0,0
27,10:55:29:324,1905,76188,4168,5117,0,2,1,20,0,0
28,10:55:33:492,2009,80356,1531,4168,1,4,1,20,0,0
29,10:55:35:023,2047,81887,3201,5699,1,4,5,20,0,0
30,10:55:38:224,2127,85088,2334,3201,0,6,5,20,0,0
31,10:55:40:558,2186,87422,2199,5535,0,6,5,26,0,0
32,10:55:42:757,2241,89621,1567,2199,1,4,5,26,0,0
33,10:55:44:324,2280,91188,4083,3766,1,4,9,26,0,0
34,10:55:48:407,2382,95271,1517,4083,0,4,9,26,0,0
35,10:55:49:924,2420,96788,3583,5600,0,4,9,30,0,0
36,10:55:53:507,2509,100371,1466,3583,1,4,9,30,0,0
37,10:55:54:973,2546,101837,4785,5049,1,4,13,30,0,0
38,10:55:59:758,2666,106622,1549,4785,0,4,13,30,0,0
39,10:56:01:307,2704,108171,4450,6334,0,4,13,34,0,0
40,10:56:05:757,2816,112621,2317,4450,1,6,13,34,0,0
41,10:56:08:074,2873,114938,910,6767,1,6,19,34,-18,0
42,10:56:08:984,2896,115848,6033,7677,1,6,1,34,0,0
43,10:56:15:017,3047,121881,383,6033,0,1,1,34,0,0
44,10:56:15:400,3057,122264,2450,6416,0,1,1,35,0,0
45,10:56:17:850,3118,124714,367,2450,1,1,1,35,0,0
46,10:56:18:217,3127,125081,743,2817,1,1,2,35,0,15
47,10:56:18:960,3146,125824,3249,3560,1,1,17,35,0,0
48,10:56:22:209,3227,129073,1550,3249,0,4,17,35,0,0
49,10:56:23:759,3266,130623,3133,4799,0,4,17,39,0,0
50,10:56:26:892,3344,133756,750,3133,1,2,17,39,0,0
51,10:56:27:642,3363,134506,912,3883,1,2,19,39,-18,0
52,10:56:28:554,3385,135418,5366,4795,1,2,1,39,0,0
53,10:56:33:920,3520,140784,2249,5366,0,6,1,39,0,0
54,10:56:36:169,3576,143033,21802,7615,0,6,1,45,0,0
55,10:56:57:971,4121,164835,66417,21802,1,4,13,49,0,0
56,10:58:04:388,5781,231252,699,66417,0,2,13,49,0,0
57,10:58:05:087,5799,231951,1728,67116,0,2,13,51,-41,0
58,10:58:06:815,5842,233679,3567,68844,0,2,13,10,0,0
59,10:58:10:382,5931,237246,1949,3567,1,5,13,10,0,0
60,10:58:12:331,5980,239195,2017,5516,1,5,18,10,0,0
61,10:58:14:348,6030,241212,1900,2017,0,5,18,10,0,0
62,10:58:16:248,6078,243112,2300,3917,0,5,18,15,0,0
63,10:58:18:548,6135,245412,367,2300,1,1,18,15,0,0
64,10:58:18:915,6144,245779,911,2667,1,1,19,15,-18,0
65,10:58:19:826,6167,246690,20517,3578,1,1,1,15,0,0
66,10:58:40:343,6680,267207,1200,20517,0,3,1,15,0,0
67,10:58:41:543,6710,268407,7949,21717,0,3,1,18,0,0
68,10:58:49:492,6909,276356,2317,7949,1,6,1,18,0,0
69,10:58:51:809,6967,278673,3934,10266,1,6,7,18,0,0
70,10:58:55:743,7065,282607,2251,3934,0,6,7,18,0,0
71,10:58:57:994,7121,284858,2465,6185,0,6,7,24,0,0
72,10:59:00:459,7183,287323,383,2465,1,1,7,24,0,0
73,10:59:00:842,7193,287706,2667,2848,1,1,8,24,0,0
74,10:59:03:509,7259,290373,384,2667,0,1,8,24,0,0
75,10:59:03:893,7269,290757,1127,3051,0,1,8,25,-21,0
76,10:59:05:020,7297,291884,2316,4178,0,1,8,4,0,0
77,10:59:07:336,7355,294200,2233,2316,1,6,8,4,0,0
78,10:59:09:569,7411,296433,2933,4549,1,6,14,4,0,0
79,10:59:12:502,7484,299366,1550,2933,0,4,14,4,0,0
80,10:59:14:052,7523,300916,2834,4483,0,4,14,8,0,0
81,10:59:16:886,7594,303750,367,2834,1,1,14,8,0,0
82,10:59:17:253,7603,304117,2717,3201,1,1,15,8,0,0
83,10:59:19:970,7671,306834,1450,2717,0,4,15,8,0,0
84,10:59:21:420,7707,308284,909,4167,0,4,15,12,-6,0
85,10:59:22:329,7730,309193,2618,5076,0,4,15,6,0,0
86,10:59:24:947,7795,311811,1899,2618,1,5,15,6,0,0
87,10:59:26:846,7843,313710,4984,4517,1,5,20,6,0,0
88,10:59:31:830,7967,318694,1466,4984,0,4,20,6,0,0
89,10:59:33:296,8004,320160,2917,6450,0,4,20,10,0,0
90,10:59:36:213,8077,323077,1566,2917,1,4,20,10,0,0
91,10:59:37:779,8116,324643,2484,4483,1,4,24,10,0,0
92,10:59:40:263,8178,327127,1533,2484,0,4,24,10,0,0
93,10:59:41:796,8216,328660,3184,4017,0,4,24,14,0,0
94,10:59:44:980,8296,331844,1933,3184,1,5,24,14,0,0
95,10:59:46:913,8344,333777,2550,5117,1,5,29,14,0,0
96,10:59:49:463,8408,336327,1183,2550,0,3,29,14,0,0
97,10:59:50:646,8438,337510,6017,3733,0,3,29,17,0,0
98,10:59:56:663,8588,343527,734,6017,1,2,29,17,0,0
99,10:59:57:397,8607,344261,1983,6751,1,2,31,17,0,0
100,10:59:59:380,8656,346244,2266,1983,0,6,31,17,0,0
101,11:00:01:646,8713,348510,1145,4249,0,6,31,23,0,21
102,11:00:02:791,8741,349655,5617,5394,0,6,31,44,0,0
103,11:00:08:408,8882,355272,1916,5617,1,5,31,44,0,0
104,11:00:10:324,8930,357188,4017,7533,1,5,36,44,0,0
105,11:00:14:341,9030,361205,2266,4017,0,6,36,44,0,0
106,11:00:16:607,9087,363471,727,6283,0,6,36,50,0,19
107,11:00:17:334,9105,364198,6582,7010,0,6,36,69,0,0
108,11:00:23:916,9270,370780,816,6582,1,2,36,69,0,0
109,11:00:24:732,9290,371596,12452,7398,1,2,38,69,0,0
110,11:00:37:184,9601,384048,1100,12452,0,3,38,69,0,0
111,11:00:38:284,9629,385148,3650,13552,0,3,38,72,0,0
112,11:00:41:934,9720,388798,683,3650,1,2,38,72,0,0
113,11:00:42:617,9737,389481,2283,4333,1,2,40,72,0,0
114,11:00:44:900,9794,391764,768,2283,0,2,40,72,0,0
115,11:00:45:668,9813,392532,5449,3051,0,2,40,74,0,0
116,11:00:51:117,9950,397981,2316,5449,1,6,40,74,0,0
117,11:00:53:433,10007,400297,2134,7765,1,6,46,74,0,0
118,11:00:55:567,10061,402431,366,2134,0,1,46,74,0,0
119,11:00:55:933,10070,402797,3367,2500,0,1,46,75,0,0
120,11:00:59:300,10154,406164,1867,3367,1,5,46,75,0,0
121,11:01:01:167,10201,408031,1728,5234,1,5,51,75,-41,0
122,11:01:02:895,10244,409759,5983,6962,1,5,10,75,0,0
123,11:01:08:878,10394,415742,1834,5983,0,5,10,75,0,0
124,11:01:10:712,10439,417576,3500,7817,0,5,10,80,0,0
125,11:01:14:212,10527,421076,1150,3500,1,3,10,80,0,0
126,11:01:15:362,10556,422226,2600,4650,1,3,13,80,0,0
127,11:01:17:962,10621,424826,1166,2600,0,3,13,80,0,0
128,11:01:19:128,10650,425992,3734,3766,0,3,13,83,0,0
129,11:01:22:862,10743,429726,2317,3734,1,6,13,83,0,0
130,11:01:25:179,10801,432043,910,6051,1,6,19,83,-18,0
131,11:01:26:089,10824,432953,4966,6961,1,6,1,83,0,0
132,11:01:31:055,10948,437919,2316,4966,0,6,1,83,0,0
133,11:01:33:371,11006,440235,912,7282,0,6,1,89,-18,0
134,11:01:34:283,11029,441147,3666,8194,0,6,1,71,0,0
135,11:01:37:949,11120,444813,366,3666,1,1,1,71,0,0
136,11:01:38:315,11129,445179,745,4032,1,1,2,71,0,15
137,11:01:39:060,11148,445924,3382,4777,1,1,17,71,0,0
138,11:01:42:442,11233,449306,1933,3382,0,5,17,71,0,0
139,11:01:44:375,11281,451239,2234,5315,0,5,17,76,0,0
140,11:01:46:609,11337,453473,750,2234,1,2,17,76,0,0
141,11:01:47:359,11356,454223,911,2984,1,2,19,76,-18,0
142,11:01:48:270,11378,455134,3299,3895,1,2,1,76,0,0
143,11:01:51:569,11461,458433,1451,3299,0,4,1,76,0,0
144,11:01:53:020,11497,459884,2033,4750,0,4,1,80,0,0
145,11:01:55:053,11548,461917,767,2033,1,2,1,80,0,0
146,11:01:55:820,11567,462684,2433,2800,1,2,3,80,0,0
147,11:01:58:253,11628,465117,783,2433,0,2,3,80,0,0
148,11:01:59:036,11648,465900,1410,3216,0,2,3,82,-18,0
149,11:02:00:446,11683,467310,2067,4626,0,2,3,64,0,0
150,11:02:02:513,11734,469377,1167,2067,1,3,3,64,0,0
151,11:02:03:680,11764,470544,2201,3234,1,3,6,64,0,0
152,11:02:05:881,11819,472745,1133,2201,0,3,6,64,0,0
153,11:02:07:014,11847,473878,4782,3334,0,3,6,67,0,0
154,11:02:11:796,11966,478660,384,4782,1,1,6,67,0,0
155,11:02:12:180,11976,479044,1717,5166,1,1,7,67,0,0
156,11:02:13:897,12019,480761,766,1717,0,2,7,67,0,0
157,11:02:14:663,12038,481527,3918,2483,0,2,7,69,0,0
158,11:02:18:581,12136,485445,1449,3918,1,4,7,69,0,0
159,11:02:20:030,12172,486894,1045,5367,1,4,11,69,0,20
160,11:02:21:075,12198,487939,2916,6412,1,4,31,69,0,0
161,11:02:23:991,12271,490855,716,2916,0,2,31,69,0,0
162,11:02:24:707,12289,491571,2201,3632,0,2,31,71,0,0
163,11:02:26:908,12344,493772,1899,2201,1,5,31,71,0,0
164,11:02:28:807,12392,495671,3083,4100,1,5,36,71,0,0
165,11:02:31:890,12469,498754,1517,3083,0,4,36,71,0,0
166,11:02:33:407,12507,500271,2617,4600,0,4,36,75,0,0
167,11:02:36:024,12572,502888,1866,2617,1,5,36,75,0,0
168,11:02:37:890,12619,504754,895,4483,1,5,41,75,-4,0
169,11:02:38:785,12641,505649,2672,5378,1,5,37,75,0,0
170,11:02:41:457,12708,508321,410,2672,0,1,37,75,0,0
171,11:02:41:867,12718,508731,2517,3082,0,1,37,76,0,0
172,11:02:44:384,12781,511248,767,2517,1,2,37,76,0,0
173,11:02:45:151,12800,512015,2750,3284,1,2,39,76,0,0
174,11:02:47:901,12869,514765,1434,2750,0,4,39,76,0,0
175,11:02:49:335,12905,516199,2782,4184,0,4,39,80,0,0
176,11:02:52:117,12975,518981,1850,2782,1,5,39,80,0,0
177,11:02:53:967,13021,520831,2567,4632,1,5,44,80,0,0
178,11:02:56:534,13085,523398,1933,2567,0,5,44,80,0,0
179,11:02:58:467,13133,525331,894,4500,0,5,44,85,-12,0
180,11:02:59:361,13156,526225,1916,5394,0,5,44,73,0,0
181,11:03:01:277,13204,528141,766,1916,1,2,44,73,0,0
182,11:03:02:043,13223,528907,2434,2682,1,2,46,73,0,0
183,11:03:04:477,13284,531341,1933,2434,0,5,46,73,0,0
184,11:03:06:410,13332,533274,2468,4367,0,5,46,78,0,0
185,11:03:08:878,13394,535742,2266,2468,1,6,46,78,0,0
186,11:03:11:144,13450,538008,2333,4734,1,6,52,78,0,0
187,11:03:13:477,13509,540341,1466,2333,0,4,52,78,0,0
188,11:03:14:943,13545,541807,1411,3799,0,4,52,82,-18,0
189,11:03:16:354,13580,543218,3450,5210,0,4,52,64,0,0
190,11:03:19:804,13667,546668,1933,3450,1,5,52,64,0,0
191,11:03:21:737,13715,548601,1409,5383,1,5,57,64,0,26
192,11:03:23:146,13750,550010,4833,6792,1,5,83,64,0,0
193,11:03:27:979,13871,554843,1150,4833,0,3,83,64,0,0
194,11:03:29:129,13900,555993,3217,5983,0,3,83,67,0,0
195,11:03:32:346,13980,559210,750,3217,1,2,83,67,0,0
196,11:03:33:096,13999,559960,892,3967,1,2,85,67,-12,0
197,11:03:33:988,14021,560852,1834,4859,1,2,73,67,0,0
198,11:03:35:822,14067,562686,1867,1834,0,5,73,67,0,0
199,11:03:37:689,14114,564553,4151,3701,0,5,73,72,0,0
200,11:03:41:840,14218,568704,2282,4151,1,6,73,72,0,0
201,11:03:44:122,14275,570986,1145,6433,1,6,79,72,-21,0
202,11:03:45:267,14303,572131,2365,7578,1,6,58,72,0,0
203,11:03:47:632,14362,574496,2316,2365,0,6,58,72,0,0
204,11:03:49:948,14420,576812,2267,4681,0,6,58,78,0,0
205,11:03:52:215,14477,579079,1050,2267,1,3,58,78,0,0
206,11:03:53:265,14503,580129,2318,3317,1,3,61,78,0,0
207,11:03:55:583,14561,582447,683,2318,0,2,61,78,0,0
208,11:03:56:266,14578,583130,2183,3001,0,2,61,80,0,0
209,11:03:58:449,14633,585313,383,2183,1,1,61,80,0,0
210,11:03:58:832,14642,585696,2067,2566,1,1,62,80,0,0
211,11:04:00:899,14694,587763,383,2067,0,1,62,80,0,0
212,11:04:01:282,14704,588146,5033,2450,0,1,62,81,0,0
213,11:04:06:315,14829,593179,1184,5033,1,3,62,81,0,0
214,11:04:07:499,14859,594363,2084,6217,1,3,65,81,0,0
215,11:04:09:583,14911,596447,1549,2084,0,4,65,81,0,0
216,11:04:11:132,14950,597996,894,3633,0,4,65,85,-12,0
217,11:04:12:026,14972,598890,2317,4527,0,4,65,73,0,0
218,11:04:14:343,15030,601207,1850,2317,1,5,65,73,0,0
219,11:04:16:193,15076,603057,3683,4167,1,5,70,73,0,0
220,11:04:19:876,15168,606740,2284,3683,0,6,70,73,0,0
221,11:04:22:160,15226,609024,1145,5967,0,6,70,79,-21,0
222,11:04:23:305,15254,610169,7049,7112,0,6,70,58,0,0
223,11:04:30:354,15430,617218,1167,7049,1,3,70,58,0,0
224,11:04:31:521,15460,618385,2750,8216,1,3,73,58,0,0
225,11:04:34:271,15528,621135,2217,2750,0,6,73,58,0,0
226,11:04:36:488,15584,623352,3216,4967,0,6,73,64,0,0
227,11:04:39:704,15664,626568,367,3216,1,1,73,64,0,0
228,11:04:40:071,15673,626935,4800,3583,1,1,74,64,0,0
229,11:04:44:871,15793,631735,1516,4800,0,4,74,64,0,0
230,11:04:46:387,15831,633251,2434,6316,0,4,74,68,0,0
231,11:04:48:821,15892,635685,2200,2434,1,6,74,68,0,0
232,11:04:51:021,15947,637885,2233,4634,1,6,80,68,0,0
233,11:04:53:254,16003,640118,717,2233,0,2,80,68,0,0
234,11:04:53:971,16021,640835,4033,2950,0,2,80,70,0,0
235,11:04:58:004,16122,644868,384,4033,1,1,80,70,0,0
236,11:04:58:388,16131,645252,3467,4417,1,1,81,70,0,0
237,11:05:01:855,16218,648719,782,3467,0,2,81,70,0,0
238,11:05:02:637,16238,649501,2101,4249,0,2,81,72,0,0
239,11:05:04:738,16290,651602,400,2101,1,1,81,72,0,0
240,11:05:05:138,16300,652002,1409,2501,1,1,82,72,-18,0
241,11:05:06:547,16335,653411,3334,3910,1,1,64,72,0,0
242,11:05:09:881,16419,656745,1150,3334,0,3,64,72,0,0
243,11:05:11:031,16447,657895,2067,4484,0,3,64,75,0,0
244,11:05:13:098,16499,659962,733,2067,1,2,64,75,0,0
245,11:05:13:831,16517,660695,1211,2800,1,2,66,75,0,9
246,11:05:15:042,16548,661906,3532,4011,1,2,75,75,0,0
247,11:05:18:574,16636,665438,1867,3532,0,5,75,75,0,0
248,11:05:20:441,16683,667305,3017,5399,0,5,75,80,0,0
249,11:05:23:458,16758,670322,800,3017,1,2,75,80,0,0
250,11:05:24:258,16778,671122,2599,3817,1,2,77,80,0,0
251,11:05:26:857,16843,673721,1533,2599,0,4,77,80,0,0
252,11:05:28:390,16881,675254,2818,4132,0,4,77,84,0,0
253,11:05:31:208,16952,678072,1450,2818,1,4,77,84,0,0
254,11:05:32:658,16988,679522,4000,4268,1,4,81,84,0,0
255,11:05:36:658,17088,683522,767,4000,0,2,81,84,0,0
256,11:05:37:425,17107,684289,4583,4767,0,2,81,86,0,0
257,11:05:42:008,17222,688872,783,4583,1,2,81,86,0,0
258,11:05:42:791,17241,689655,3033,5366,1,2,83,86,0,0
259,11:05:45:824,17317,692688,1469,3033,0,4,83,86,0,0
260,11:05:47:293,17354,694157,5699,4502,0,4,83,90,0,0
261,11:05:52:992,17496,699856,750,5699,1,2,83,90,0,0
262,11:05:53:742,17515,700606,894,6449,1,2,85,90,-12,0
263,11:05:54:636,17538,701500,5933,7343,1,2,73,90,0,0
264,11:06:00:569,17686,707433,1551,5933,0,4,73,90,0,0
265,11:06:02:120,17725,708984,912,7484,0,4,73,94,-8,0
266,11:06:03:032,17747,709896,3267,8396,0,4,73,86,0,0
