,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,11:44:51:034,0,0,16255,0,1,0,0,0,0,0
1,11:45:08:409,406,16255,1585,16255,1,4,0,0,0,0
2,11:45:09:994,446,17840,3334,17840,1,4,4,0,0,0
3,11:45:13:328,529,21174,784,3334,0,2,4,0,0,0
4,11:45:14:112,549,21958,745,4118,0,2,4,2,0,15
5,11:45:14:857,568,22703,13915,4863,0,2,4,17,0,0
6,11:45:28:772,915,36618,383,13915,1,1,4,17,0,0
7,11:45:29:155,925,37001,4467,14298,1,1,5,17,0,0
8,11:45:33:622,1037,41468,1083,4467,0,3,5,17,0,0
9,11:45:34:705,1064,42551,19950,5550,0,3,5,20,0,0
10,11:45:54:655,1563,62501,383,19950,1,1,5,20,0,0
11,11:45:55:038,1572,62884,4884,20333,1,1,6,20,0,0
12,11:45:59:922,1694,67768,2318,4884,0,6,6,20,0,0
13,11:46:02:240,1752,70086,8449,7202,0,6,6,26,0,0
14,11:46:10:689,1963,78535,1467,8449,1,4,6,26,0,0
15,11:46:12:156,2000,80002,4633,9916,1,4,10,26,0,0
16,11:46:16:789,2116,84635,1184,4633,0,3,10,26,0,0
17,11:46:17:973,2145,85819,4049,5817,0,3,10,29,0,0
18,11:46:22:022,2247,89868,2302,4049,1,6,10,29,0,0
19,11:46:24:324,2304,92170,12366,6351,1,6,16,29,0,0
20,11:46:36:690,2613,104536,734,12366,0,2,16,29,0,0
21,11:46:37:424,2632,105270,7250,13100,0,2,16,31,0,0
22,11:46:44:674,2813,112520,1883,7250,1,5,16,31,0,0
23,11:46:46:557,2860,114403,911,9133,1,5,21,31,0,18
24,11:46:47:468,2883,115314,6366,10044,1,5,39,31,0,0
25,11:46:53:834,3042,121680,2317,6366,0,6,39,31,0,0
26,11:46:56:151,3100,123997,2916,8683,0,6,39,37,0,0
27,11:46:59:067,3173,126913,684,2916,1,2,39,37,0,0
28,11:46:59:751,3190,127597,895,3600,1,2,41,37,-4,0
29,11:47:00:646,3212,128492,7367,4495,1,2,37,37,0,0
30,11:47:08:013,3396,135859,1450,7367,0,4,37,37,0,0
31,11:47:09:463,3433,137309,895,8817,0,4,37,41,-4,0
32,11:47:10:358,3455,138204,3349,9712,0,4,37,37,0,0
33,11:47:13:707,3539,141553,1084,3349,1,3,37,37,0,0
34,11:47:14:791,3566,142637,3132,4433,1,3,40,37,0,0
35,11:47:17:923,3644,145769,767,3132,0,2,40,37,0,0
36,11:47:18:690,3663,146536,3767,3899,0,2,40,39,0,0
37,11:47:22:457,3758,150303,1550,3767,1,4,40,39,0,0
38,11:47:24:007,3796,151853,3884,5317,1,4,44,39,0,0
39,11:47:27:891,3893,155737,1083,3884,0,3,44,39,0,0
40,11:47:28:974,3920,156820,2418,4967,0,3,44,42,0,0
41,11:47:31:392,3981,159238,1932,2418,1,5,44,42,0,0
42,11:47:33:324,4029,161170,4234,4350,1,5,49,42,0,0
43,11:47:37:558,4135,165404,400,4234,0,1,49,42,0,0
44,11:47:37:958,4145,165804,1161,4634,0,1,49,43,-21,0
45,11:47:39:119,4174,166965,6349,5795,0,1,49,22,0,0
46,11:47:45:468,4333,173314,699,6349,1,2,49,22,0,0
47,11:47:46:167,4350,174013,1712,7048,1,2,51,22,-41,0
48,11:47:47:879,4393,175725,5534,8760,1,2,10,22,0,0
49,11:47:53:413,4531,181259,1932,5534,0,5,10,22,0,0
50,11:47:55:345,4580,183191,2284,7466,0,5,10,27,0,0
51,11:47:57:629,4637,185475,1899,2284,1,5,10,27,0,0
52,11:47:59:528,4684,187374,2201,4183,1,5,15,27,0,0
53,11:48:01:729,4739,189575,1899,2201,0,5,15,27,0,0
54,11:48:03:628,4787,191474,3235,4100,0,5,15,32,0,0
55,11:48:06:863,4868,194709,2282,3235,1,6,15,32,0,0
56,11:48:09:145,4925,196991,911,5517,1,6,21,32,0,18
57,11:48:10:056,4948,197902,4899,6428,1,6,39,32,0,0
58,11:48:14:955,5070,202801,1167,4899,0,3,39,32,0,0
59,11:48:16:122,5099,203968,3183,6066,0,3,39,35,0,0
60,11:48:19:305,5179,207151,1483,3183,1,4,39,35,0,0
61,11:48:20:788,5216,208634,1160,4666,1,4,43,35,-21,0
62,11:48:21:948,5245,209794,6333,5826,1,4,22,35,0,0
63,11:48:28:281,5403,216127,1867,6333,0,5,22,35,0,0
64,11:48:30:148,5450,217994,3533,8200,0,5,22,40,0,0
65,11:48:33:681,5538,221527,1150,3533,1,3,22,40,0,0
66,11:48:34:831,5567,222677,1128,4683,1,3,25,40,-21,0
67,11:48:35:959,5595,223805,3599,5811,1,3,4,40,0,0
68,11:48:39:558,5685,227404,1934,3599,0,5,4,40,0,0
69,11:48:41:492,5733,229338,5716,5533,0,5,4,45,0,0
70,11:48:47:208,5876,235054,1550,5716,1,4,4,45,0,0
71,11:48:48:758,5915,236604,8451,7266,1,4,8,45,0,0
72,11:48:57:209,6126,245055,1166,8451,0,3,8,45,0,0
73,11:48:58:375,6156,246221,9784,9617,0,3,8,48,0,0
74,11:49:08:159,6400,256005,1066,9784,1,3,8,48,0,0
75,11:49:09:225,6427,257071,1044,10850,1,3,11,48,0,20
76,11:49:10:269,6453,258115,4966,11894,1,3,31,48,0,0
