,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,11:49:39:193,0,0,15634,0,1,0,0,0,0,0
1,11:49:55:947,391,15634,785,15634,1,2,0,0,0,0
2,11:49:56:732,410,16419,743,16419,1,2,2,0,0,15
3,11:49:57:475,429,17162,7900,17162,1,2,17,0,0,0
4,11:50:05:375,627,25062,2350,7900,0,6,17,0,0,0
5,11:50:07:725,685,27412,6300,10250,0,6,17,6,0,0
6,11:50:14:025,843,33712,750,6300,1,2,17,6,0,0
7,11:50:14:775,862,34462,910,7050,1,2,19,6,-18,0
8,11:50:15:685,884,35372,5667,7960,1,2,1,6,0,0
9,11:50:21:352,1026,41039,383,5667,0,1,1,6,0,0
10,11:50:21:735,1036,41422,5083,6050,0,1,1,7,0,0
11,11:50:26:818,1163,46505,767,5083,1,2,1,7,0,0
12,11:50:27:585,1182,47272,2417,5850,1,2,3,7,0,0
13,11:50:30:002,1242,49689,384,2417,0,1,3,7,0,0
14,11:50:30:386,1252,50073,2099,2801,0,1,3,8,0,0
15,11:50:32:485,1304,52172,767,2099,1,2,3,8,0,0
16,11:50:33:252,1323,52939,2833,2866,1,2,5,8,0,0
17,11:50:36:085,1394,55772,717,2833,0,2,5,8,0,0
18,11:50:36:802,1412,56489,2433,3550,0,2,5,10,0,0
19,11:50:39:235,1473,58922,1850,2433,1,5,5,10,0,0
20,11:50:41:085,1519,60772,2783,4283,1,5,10,10,0,0
21,11:50:43:868,1589,63555,1535,2783,0,4,10,10,0,0
22,11:50:45:403,1627,65090,3149,4318,0,4,10,14,0,0
23,11:50:48:552,1706,68239,1533,3149,1,4,10,14,0,0
24,11:50:50:085,1744,69772,2467,4682,1,4,14,14,0,0
25,11:50:52:552,1806,72239,366,2467,0,1,14,14,0,0
26,11:50:52:918,1815,72605,2384,2833,0,1,14,15,0,0
27,11:50:55:302,1875,74989,1566,2384,1,4,14,15,0,0
28,11:50:56:868,1914,76555,2933,3950,1,4,18,15,0,0
29,11:50:59:801,1987,79488,2284,2933,0,6,18,15,0,0
30,11:51:02:085,2044,81772,910,5217,0,6,18,21,0,18
31,11:51:02:995,2067,82682,4234,6127,0,6,18,39,0,0
32,11:51:07:229,2173,86916,1883,4234,1,5,18,39,0,0
33,11:51:09:112,2220,88799,1143,6117,1,5,23,39,0,21
34,11:51:10:255,2249,89942,2700,7260,1,5,44,39,0,0
35,11:51:12:955,2316,92642,2232,2700,0,6,44,39,0,0
36,11:51:15:187,2372,94874,2484,4932,0,6,44,45,0,0
