,UniversalTime,FrameNr,EntireGameTime,Duration,TurnTime,WhosTurn,DiceValue,Human,Furhat,ifSnake,ifLadder
0,10:02:44:924,0,0,7433,0,1,0,0,0,0,0
1,10:02:53:557,186,7433,784,7433,1,2,0,0,0,0
2,10:02:54:341,205,8217,744,8217,1,2,2,0,0,15
3,10:02:55:085,224,8961,7050,8961,1,2,17,0,0,0
4,10:03:02:135,400,16011,1183,7050,0,3,17,0,0,0
5,10:03:03:318,430,17194,3634,8233,0,3,17,3,0,0
6,10:03:06:952,521,20828,1466,3634,1,4,17,3,0,0
7,10:03:08:418,557,22294,910,5100,1,4,21,3,0,18
8,10:03:09:328,580,23204,6983,6010,1,4,39,3,0,0
9,10:03:16:311,755,30187,1551,6983,0,4,39,3,0,0
10,10:03:17:862,793,31738,3183,8534,0,4,39,7,0,0
11,10:03:21:045,873,34921,300,3183,1,1,39,7,0,0
12,10:03:21:345,881,35221,4567,3483,1,1,40,7,0,0
13,10:03:25:912,995,39788,1466,4567,0,4,40,7,0,0
14,10:03:27:378,1031,41254,1043,6033,0,4,40,11,0,20
15,10:03:28:421,1057,42297,4199,7076,0,4,40,31,0,0
16,10:03:32:620,1162,46496,767,4199,1,2,40,31,0,0
17,10:03:33:387,1182,47263,6350,4966,1,2,42,31,0,0
18,10:03:39:737,1340,53613,2334,6350,0,6,42,31,0,0
19,10:03:42:071,1399,55947,7166,8684,0,6,42,37,0,0
20,10:03:49:237,1578,63113,1166,7166,1,3,42,37,0,0
21,10:03:50:403,1607,64279,2334,8332,1,3,45,37,0,0
22,10:03:52:737,1665,66613,1834,2334,0,5,45,37,0,0
23,10:03:54:571,1711,68447,2799,4168,0,5,45,42,0,0
24,10:03:57:370,1781,71246,1151,2799,1,3,45,42,0,0
25,10:03:58:521,1810,72397,2033,3950,1,3,48,42,0,0
26,10:04:00:554,1861,74430,783,2033,0,2,48,42,0,0
27,10:04:01:337,1880,75213,3366,2816,0,2,48,44,0,0
28,10:04:04:703,1964,78579,1084,3366,1,3,48,44,0,0
29,10:04:05:787,1992,79663,1727,4450,1,3,51,44,-41,0
30,10:04:07:514,2035,81390,5333,6177,1,3,10,44,0,0
31,10:04:12:847,2168,86723,367,5333,0,1,10,44,0,0
32,10:04:13:214,2177,87090,2733,5700,0,1,10,45,0,0
33,10:04:15:947,2246,89823,2301,2733,1,6,10,45,0,0
34,10:04:18:248,2303,92124,2182,5034,1,6,16,45,0,0
35,10:04:20:430,2358,94306,1167,2182,0,3,16,45,0,0
36,10:04:21:597,2387,95473,2300,3349,0,3,16,48,0,0
37,10:04:23:897,2444,97773,417,2300,1,1,16,48,0,0
38,10:04:24:314,2455,98190,2550,2717,1,1,17,48,0,0
39,10:04:26:864,2518,100740,2283,2550,0,6,17,48,0,0
40,10:04:29:147,2576,103023,3134,4833,0,6,17,54,0,0
41,10:04:32:281,2654,106157,384,3134,1,1,17,54,0,0
42,10:04:32:665,2664,106541,2399,3518,1,1,18,54,0,0
43,10:04:35:064,2724,108940,1550,2399,0,4,18,54,0,0
44,10:04:36:614,2762,110490,2801,3949,0,4,18,58,0,0
45,10:04:39:415,2832,113291,1882,2801,1,5,18,58,0,0
46,10:04:41:297,2879,115173,1145,4683,1,5,23,58,0,21
47,10:04:42:442,2908,116318,2448,5828,1,5,44,58,0,0
48,10:04:44:890,2969,118766,384,2448,0,1,44,58,0,0
49,10:04:45:274,2979,119150,2533,2832,0,1,44,59,0,0
50,10:04:47:807,3042,121683,1150,2533,1,3,44,59,0,0
51,10:04:48:957,3071,122833,4000,3683,1,3,47,59,0,0
52,10:04:52:957,3171,126833,301,4000,0,1,47,59,0,0
53,10:04:53:258,3178,127134,3149,4301,0,1,47,60,0,0
